tqq,tss,nooverlap
t7378c9,t2338c4,0
t7378c9,t2339c2,0
t7378c9,t2340c1,0
t7378c9,t2369c0,0
t7378c9,t2384c0,0
t7378c9,t2390c1,0
t7378c9,t2400c1,0
t7378c9,t2402c0,0
t7378c9,t2417c2,0
t7378c9,t2461c0,0
t7378c9,t2481c1,0
t7378c9,t2481c2,0
t7378c9,t2484c1,0
t7378c9,t2487c2,0
t7378c9,t2494c2,0
t7378c9,t2504c1,0
t7378c9,t2535c1,0
t7378c9,t2541c1,0
t7378c9,t2561c1,0
t7378c9,t2618c1,0
t7378c9,t2626c5,0
t7378c9,t2631c3,0
t7378c9,t2665c4,0
t7378c9,t2672c3,0
t7378c9,t2771c1,0
t7378c9,t2775c4,0
t7378c9,t2785c1,0
t7378c9,t2807c3,0
t7378c9,t2833c0,0
t7378c9,t2833c1,0
t7378c9,t2699c3,0
t7378c9,t2704c4,0
t7378c9,t2717c0,0
t7378c9,t2728c1,0
t7378c9,t2735c0,0
t7378c9,t2756c6,0
t7378c9,t2758c0,0
t7378c9,t2762c1,0
t7378c9,t2870c0,0
t7378c9,t2885c0,0
t7378c9,t2986c1,0
t7378c9,t2915c0,0
t7378c9,t2915c1,0
t7378c9,t2919c1,0
t7378c9,t2942c3,0
t7378c9,t2958c6,0
t7378c9,t2968c0,0
t7378c9,t2995c1,0
t7378c9,t3075c2,0
t7378c9,t3083c2,0
t7378c9,t3084c2,0
t7378c9,t3094c1,0
t7378c9,t3108c0,0
t7378c9,t3130c0,0
t7378c9,t3139c2,0
t7378c9,t3014c0,0
t7378c9,t3052c1,0
t7378c9,t3066c4,0
t7378c9,t3069c1,0
t7378c9,t3145c1,0
t7378c9,t3145c5,0
t7378c9,t3162c4,0
t7378c9,t3214c6,0
t7378c9,t3246c3,0
t7378c9,t3246c5,0
t7378c9,t3248c4,0
t7378c9,t3253c1,0
t7378c9,t3267c6,0
t7378c9,t3280c4,0
t7378c9,t3296c0,0
t7378c9,t3303c0,0
t7378c9,t3304c1,0
t7378c9,t3305c0,0
t7378c9,t3319c0,0
t7378c9,t3333c0,0
t7378c9,t3339c4,0
t7378c9,t3351c0,0
t7378c9,t3357c1,0
t7378c9,t3368c0,0
t7378c9,t3385c1,0
t7378c9,t3394c1,0
t7378c9,t3399c0,0
t7378c9,t3445c1,0
t7378c9,t3452c1,0
t7378c9,t3466c6,0
t7378c9,t3492c4,0
t7378c9,t3508c1,0
t7378c9,t3515c0,0
t7378c9,t3536c0,0
t7378c9,t3540c1,0
t7378c9,t3558c0,0
t7378c9,t3559c1,0
t7378c9,t3573c1,0
t7378c9,t3593c1,0
t7378c9,t3599c0,0
t7378c9,t3607c6,0
t7378c9,t3628c0,0
t7378c9,t3651c3,0
t7378c9,t3680c4,0
t7378c9,t3685c0,0
t7378c9,t3690c1,0
t7378c9,t3695c1,0
t7378c9,t3717c1,0
t7378c9,t3730c2,0
t7378c9,t3755c1,0
t7378c9,t3783c2,0
t7378c9,t3797c1,0
t7378c9,t3800c0,0
t7378c9,t3802c0,0
t7378c9,t3803c1,0
t7378c9,t3902c1,0
t7378c9,t3826c0,0
t7378c9,t3837c1,0
t7378c9,t3839c3,0
t7378c9,t3843c0,0
t7378c9,t3845c1,0
t7378c9,t3866c1,0
t7378c9,t3872c4,0
t7378c9,t3881c1,0
t7378c9,t3893c2,0
t7378c9,t4017c3,0
t7378c9,t4024c2,0
t7378c9,t4037c4,0
t7378c9,t4038c1,0
t7378c9,t4040c0,0
t7378c9,t4046c1,0
t7378c9,t4048c0,0
t7378c9,t3929c3,0
t7378c9,t3933c1,0
t7378c9,t3949c4,0
t7378c9,t3962c1,0
t7378c9,t3967c0,0
t7378c9,t4063c4,0
t7378c9,t4066c1,0
t7378c9,t4074c0,0
t7378c9,t4081c0,0
