tqq,tss,nooverlap
t1793c0,t78c6,89
t1793c0,t306c0,93
t1793c0,t441c6,92
t1793c0,t545c6,89
t1793c0,t553c6,89
t1793c0,t564c1,93
t1793c0,t564c2,96
t1793c0,t564c4,95
t1793c0,t608c6,92
t1793c0,t731c6,89
t1793c0,t814c3,93
t1793c0,t1247c6,92
t1793c0,t1315c3,93
t1793c0,t1377c6,89
t1793c0,t1402c6,92
t1793c0,t1547c3,94
t1793c0,t1582c6,94
t1793c0,t1708c3,95
t1793c0,t1621c0,92
t1793c0,t1629c6,94
t1793c0,t1732c6,89
t1793c0,t1859c6,89
t1793c0,t1886c15,93
t1793c0,t1931c6,94
t1793c0,t2098c6,94
t1793c0,t2127c1,94
t1793c0,t2190c6,92
t1793c0,t2517c6,92
t1793c0,t2703c6,92
t1793c0,t2756c6,92
t1793c0,t2773c6,92
t1793c0,t2833c0,97
t1793c0,t2871c6,92
t1793c0,t2919c1,96
t1793c0,t2958c6,92
t1793c0,t3026c6,92
t1793c0,t3214c6,92
t1793c0,t3267c6,89
t1793c0,t3303c0,95
t1793c0,t3351c0,95
t1793c0,t3416c6,92
t1793c0,t3466c6,89
t1793c0,t3540c1,91
t1793c0,t3908c6,92
t1793c0,t4063c4,94
t1793c0,t4160c1,92
t1793c0,t4291c6,92
t1793c0,t4340c0,94
t1793c0,t5706c0,93
t1793c0,t6222c6,92
t1793c0,t6296c2,92
t1793c0,t6307c6,92
t1793c0,t6487c1,94
t1793c0,t6497c1,91
t1793c0,t6499c4,93
t1793c0,t6758c5,96
t1793c0,t6812c6,94
t1793c0,t6948c7,93
t1793c0,t7075c0,92
t1793c0,t7089c6,92
t1793c0,t7096c6,92
t1793c0,t7139c1,92
t1793c0,t7308c6,89
t1793c0,t7383c4,93
t1793c0,t7407c6,89
t1793c0,t7599c1,93
t1793c0,t7717c6,89
t1793c0,t7817c15,93
t1793c0,t7880c6,92
t1793c0,t7933c0,93
t1793c0,t8152c6,92
t1793c0,t8205c6,92
t1793c0,t8295c6,92
t1793c0,t8418c3,92
t1793c0,t8774c6,89
t1793c0,t8876c6,92
t1793c0,t8836c6,92
t1793c0,t9056c6,89
t1793c0,t9136c0,96
t1793c0,t9136c2,94
t1793c0,t9305c6,92
t1793c0,t9375c0,94
t1793c0,t9514c6,89
t1793c0,t9967c5,91
t1793c0,t9911c0,96
t1793c0,t10286c6,92
t1793c0,t10446c0,95
t1793c0,t10527c1,94
t1793c0,t10589c6,92
t1793c0,t10600c6,89
t1793c0,t10632c1,93
t1793c0,t10979c6,92
t1793c0,t10920c6,92
t1793c0,t10939c6,92
t1793c0,t11125c0,95
t1793c0,t11207c6,92
t1793c0,t11340c6,89
t1793c0,t11648c6,92
t1793c0,t11950c6,92
t1793c0,t12130c3,93
t1793c0,t12169c2,96
t1793c0,t12439c6,92
t1793c0,t12547c6,89
t1793c0,t12762c6,92
t1793c0,t13023c6,89
t1793c0,t13056c6,89
t1793c0,t13063c6,92
t1793c0,t13172c6,92
t1793c0,t13325c1,93
t1793c0,t13376c1,89
t1793c0,t13388c1,94
t1793c0,t13474c1,95
t1793c0,t13864c1,96
t1793c0,t14009c2,95
t1793c0,t14111c6,89
t1793c0,t14112c1,90
t1793c0,t14143c6,92
t1793c0,t14309c6,92
t1793c0,t14397c6,92
t1793c0,t14529c2,95
t1793c0,t14607c6,92
t1793c0,t14617c1,88
t1793c0,t15138c6,92
t1793c0,t15144c6,92
t1793c0,t14846c6,89
t1793c0,t15044c1,96
t1793c0,t15082c0,97
t1793c0,t15195c2,94
t1793c0,t15236c1,92
t1793c0,t15431c6,89
t1793c0,t15511c1,94
t1793c0,t15443c6,89
t1793c0,t15551c6,89
t1793c0,t15610c0,94
t1793c0,t15644c1,92
t1793c0,t15769c6,92
t1793c0,t15869c6,92
t1793c0,t15916c15,92
t1793c0,t16202c6,94
t1793c0,t16246c6,92
t1793c0,t16394c4,92
t1793c0,t16427c6,92
t1793c0,t16463c1,94
t1793c0,t16581c1,95
t1793c0,t16583c6,89
t1793c0,t16584c6,92
t1793c0,t16622c4,94
t1793c0,t16628c6,92
t1793c0,t16889c1,94
t1793c0,t17142c6,92
t1793c0,t17169c6,89
t1793c0,t17405c6,89
t1793c0,t17425c2,94
t1793c0,t17579c6,92
t1793c0,t17595c6,92
t1793c0,t17603c6,89
t1793c0,t18060c3,92
t1793c0,t18099c0,94
t1793c0,t18007c1,96
t1793c0,t18182c0,92
t1793c0,t18369c6,92
t1793c0,t18370c4,94
t1793c0,t18401c6,94
t1793c0,t18572c0,95
t1793c0,t18634c6,92
t1793c0,t18793c6,92
t1793c0,t19075c0,95
t1793c0,t19002c6,92
t1793c0,t18959c6,92
t1793c0,t19150c6,94
t1793c0,t19213c6,92
t1793c0,t19530c0,95
t1793c0,t19350c4,94
t1793c0,t19440c1,93
t1793c0,t19613c2,95
t1793c0,t19990c6,92
t1793c0,t20154c0,90
t1793c0,t20176c6,92
t1793c0,t20182c6,92
t1793c0,t20230c1,89
