tqq,tss,nooverlap
t9136c4,t4169c5,37
t9136c4,t4101c4,46
t9136c4,t4102c0,39
t9136c4,t4125c3,68
t9136c4,t4125c4,72
t9136c4,t4125c5,55
t9136c4,t4125c7,61
t9136c4,t4125c12,62
t9136c4,t4160c0,39
t9136c4,t4206c1,56
t9136c4,t4237c1,65
t9136c4,t4262c1,61
t9136c4,t4262c2,53
t9136c4,t4283c7,32
t9136c4,t4306c3,39
t9136c4,t4321c5,37
t9136c4,t4362c3,45
t9136c4,t4386c0,35
t9136c4,t4399c3,62
t9136c4,t4443c5,33
t9136c4,t4447c5,37
t9136c4,t4523c3,62
t9136c4,t4595c5,33
t9136c4,t4609c4,63
t9136c4,t4686c2,37
t9136c4,t4731c5,33
t9136c4,t4742c0,45
t9136c4,t4779c2,24
t9136c4,t4779c3,19
t9136c4,t4824c2,39
t9136c4,t4824c3,39
t9136c4,t4830c3,37
t9136c4,t4933c3,62
t9136c4,t4861c5,62
t9136c4,t4894c5,33
t9136c4,t4925c2,52
t9136c4,t4961c3,12
t9136c4,t4976c5,55
t9136c4,t4976c6,60
t9136c4,t5007c5,60
t9136c4,t5026c0,54
t9136c4,t5029c9,38
t9136c4,t5032c5,56
t9136c4,t5050c2,53
t9136c4,t5050c3,53
t9136c4,t5052c3,61
t9136c4,t5053c7,43
t9136c4,t5057c3,37
t9136c4,t5072c5,62
t9136c4,t5073c5,50
t9136c4,t5073c6,75
t9136c4,t5095c2,56
t9136c4,t5097c3,37
t9136c4,t5099c3,62
t9136c4,t5113c5,55
t9136c4,t5113c6,60
t9136c4,t5127c5,33
t9136c4,t5160c4,66
t9136c4,t5174c7,32
t9136c4,t5225c5,33
t9136c4,t5310c1,57
t9136c4,t5317c1,29
t9136c4,t5363c5,50
t9136c4,t5363c6,75
t9136c4,t5372c3,65
t9136c4,t5398c5,19
t9136c4,t5509c3,62
t9136c4,t5512c4,39
t9136c4,t5517c5,33
t9136c4,t5444c14,55
t9136c4,t5525c3,62
t9136c4,t5552c0,67
t9136c4,t5574c0,36
t9136c4,t5659c1,41
t9136c4,t5693c5,37
t9136c4,t5697c5,37
t9136c4,t5723c5,50
t9136c4,t5723c6,75
t9136c4,t5746c5,14
t9136c4,t5747c20,61
t9136c4,t5772c3,62
t9136c4,t5810c2,52
t9136c4,t5817c2,59
t9136c4,t5817c3,46
t9136c4,t5851c5,62
t9136c4,t5889c0,1
t9136c4,t5925c6,65
t9136c4,t5925c8,34
t9136c4,t5925c9,41
t9136c4,t5936c3,62
t9136c4,t5959c4,51
t9136c4,t6025c5,33
t9136c4,t6050c9,59
t9136c4,t6050c12,56
t9136c4,t6133c3,40
t9136c4,t6134c5,59
t9136c4,t6183c0,39
t9136c4,t6209c5,33
t9136c4,t6296c1,17
t9136c4,t6296c4,0
t9136c4,t6331c7,32
t9136c4,t6351c4,59
t9136c4,t6423c0,56
