algo,tqq,|q|,time(sec)
pexeso,t1793c0,100,35.47
pexeso,t3967c0,100,36.13
pexeso,t7378c9,100,35.30
pexeso,t7821c1,100,34.92
pexeso,t8999c1,100,35.07
pexeso,t9136c4,100,33.45
pexeso,t11627c4,100,36.46
pexeso,t12886c0,100,35.47
pexeso,t13388c1,100,36.55
pexeso,t15192c0,100,35.55
