tqq,tss,overlap
t1793c0,t77952c0,1
t1793c0,t31526c0,1
t1793c0,t77653c0,1
t1793c0,t90300c0,1
t1793c0,t63442c0,1
t1793c0,t39354c0,1
t1793c0,t101135c0,1
t1793c0,t98359c0,1
t1793c0,t94611c0,1
t1793c0,t35608c0,1
t1793c0,t62627c0,1
t1793c0,t12925c0,1
t1793c0,t70786c0,1
t1793c0,t35870c0,1
t1793c0,t12420c0,1
t1793c0,t86970c0,1
t1793c0,t14520c0,1
t1793c0,t55265c0,1
t1793c0,t48548c0,1
t1793c0,t67318c0,1
t1793c0,t30821c0,1
t1793c0,t24108c0,1
t1793c0,t40653c0,1
t1793c0,t48237c0,1
t1793c0,t81753c0,1
t1793c0,t9576c0,1
t1793c0,t99928c0,1
t1793c0,t82992c0,1
t1793c0,t17327c0,1
t1793c0,t55985c0,1
t1793c0,t73738c0,1
t1793c0,t4633c0,1
t1793c0,t26269c0,1
t1793c0,t82437c0,1
t1793c0,t19596c0,1
t1793c0,t39950c0,1
t1793c0,t97643c0,1
t1793c0,t36132c0,1
t1793c0,t83238c0,1
t1793c0,t67528c0,1
t1793c0,t42078c0,1
t1793c0,t15938c0,1
t1793c0,t26821c0,1
t1793c0,t45932c0,1
t1793c0,t59712c0,1
t1793c0,t81169c0,1
t1793c0,t813c0,1
t1793c0,t83844c0,1
t1793c0,t72582c0,1
t1793c0,t27278c0,1
t1793c0,t22316c0,1
t1793c0,t73228c0,1
t1793c0,t101405c0,1
t1793c0,t23022c0,1
t1793c0,t25561c0,1
t1793c0,t98604c0,1
t1793c0,t24799c0,1
t1793c0,t16574c6,1
t1793c0,t73320c5,1
t1793c0,t54406c15,1
t1793c0,t63022c15,1
t1793c0,t40434c15,1
t1793c0,t72626c15,1
t1793c0,t85734c15,1
t1793c0,t103331c15,1
t1793c0,t69388c12,1
t1793c0,t42190c15,1
t1793c0,t91224c16,1
t1793c0,t90335c15,1
t1793c0,t59522c16,1
t1793c0,t8583c16,1
t1793c0,t35952c16,1
t1793c0,t49858c14,1
t1793c0,t80466c16,1
t1793c0,t22092c16,1
t1793c0,t43954c14,1
t1793c0,t84988c16,1
t1793c0,t49060c16,1
t1793c0,t70174c1,1
t1793c0,t70174c3,1
t1793c0,t9131c7,1
t1793c0,t36598c15,1
t1793c0,t73146c15,1
t1793c0,t9995c15,1
t1793c0,t30118c15,1
t1793c0,t4921c15,1
t1793c0,t62928c5,1
t1793c0,t48052c15,1
t1793c0,t64379c15,1
t1793c0,t76807c15,1
t1793c0,t98787c15,1
t1793c0,t99278c15,1
t1793c0,t29390c15,1
t1793c0,t69797c15,1
t1793c0,t8553c15,1
t1793c0,t52117c15,1
t1793c0,t46672c15,1
t1793c0,t23759c15,1
t1793c0,t61579c15,1
t1793c0,t74038c15,1
t1793c0,t97358c15,1
t1793c0,t11971c15,1
t1793c0,t65044c15,1
t1793c0,t64053c15,1
t1793c0,t61553c15,1
t1793c0,t67393c15,1
t1793c0,t62463c9,1
t1793c0,t5056c15,1
t1793c0,t25317c15,1
t1793c0,t15565c2,1
t1793c0,t95384c6,1
t1793c0,t71259c0,1
t1793c0,t1182c0,1
t1793c0,t2121c0,1
t1793c0,t41296c0,1
t1793c0,t51702c0,1
t1793c0,t93154c0,1
t1793c0,t12718c0,1
t1793c0,t8095c0,1
t1793c0,t44000c0,1
t1793c0,t2477c0,1
t1793c0,t18355c0,1
t1793c0,t33430c0,1
t1793c0,t34115c0,1
t1793c0,t2684c0,1
t1793c0,t29093c0,1
t1793c0,t3090c0,1
t1793c0,t31207c0,1
t1793c0,t35862c0,1
t1793c0,t42991c0,1
t1793c0,t502c0,1
t1793c0,t71138c0,1
t1793c0,t71215c0,1
t1793c0,t72951c0,1
t1793c0,t79760c0,1
t1793c0,t75371c0,1
t1793c0,t78099c0,1
t1793c0,t85984c0,1
t1793c0,t86223c0,1
t1793c0,t83047c0,1
t1793c0,t71297c0,1
t1793c0,t101495c0,1
t1793c0,t103051c0,1
t1793c0,t13480c0,1
t1793c0,t18174c0,1
t1793c0,t297c0,1
t1793c0,t37414c0,1
t1793c0,t4662c0,1
t1793c0,t48735c0,1
t1793c0,t5659c0,1
t1793c0,t5600c0,1
t1793c0,t65712c0,1
t1793c0,t65793c0,1
t1793c0,t69077c0,1
t1793c0,t84466c0,1
t1793c0,t82272c0,1
t1793c0,t82421c0,1
t1793c0,t85228c0,1
t1793c0,t92614c0,1
t1793c0,t92675c2,1
t1793c0,t98024c5,3
t1793c0,t3508c4,1
t1793c0,t63045c1,1
t1793c0,t90332c2,1
t1793c0,t82945c4,1
t1793c0,t91080c0,1
t1793c0,t75472c4,1
t1793c0,t20866c2,1
t1793c0,t16384c7,1
t1793c0,t16384c8,1
t1793c0,t51584c4,1
t1793c0,t16863c0,1
t1793c0,t30504c0,2
t1793c0,t25861c0,1
t1793c0,t48993c1,1
t1793c0,t43621c2,1
t1793c0,t42483c7,1
t1793c0,t63185c1,1
t1793c0,t31020c7,1
t1793c0,t59351c2,1
t1793c0,t58231c4,1
t1793c0,t43712c7,1
t1793c0,t91859c0,1
t1793c0,t74555c2,1
t1793c0,t30601c11,1
t1793c0,t13776c1,1
t1793c0,t32051c7,1
t1793c0,t80374c2,1
t1793c0,t40243c1,1
t1793c0,t55772c0,1
t1793c0,t5012c4,1
t1793c0,t78391c3,1
t1793c0,t64542c3,1
t1793c0,t103117c6,1
t1793c0,t15425c6,1
t1793c0,t83992c6,1
t1793c0,t30661c7,1
t1793c0,t47964c5,1
t1793c0,t61318c3,1
t1793c0,t7851c2,1
t1793c0,t42295c4,1
t1793c0,t41603c0,1
t1793c0,t60067c6,1
t1793c0,t91061c2,2
t1793c0,t64021c1,1
t1793c0,t89806c0,2
t1793c0,t57186c2,1
t1793c0,t89806c2,1
t1793c0,t6860c1,1
t1793c0,t27033c3,1
t1793c0,t21150c3,1
t1793c0,t95237c3,1
t1793c0,t68302c2,1
t1793c0,t87372c4,1
t1793c0,t39804c0,1
t1793c0,t32554c0,1
t1793c0,t40129c0,1
t1793c0,t32511c5,1
t1793c0,t67627c3,1
t1793c0,t29291c4,1
t1793c0,t29291c7,1
t1793c0,t83632c4,1
t1793c0,t18398c11,1
t1793c0,t76900c7,1
t1793c0,t86103c5,1
t1793c0,t4652c5,1
t1793c0,t65603c5,1
t1793c0,t72540c5,1
t1793c0,t53502c4,2
t1793c0,t97336c8,1
t1793c0,t42198c3,1
t1793c0,t91655c2,1
t1793c0,t1798c1,1
t1793c0,t18808c1,1
t1793c0,t98024c6,2
t1793c0,t88582c11,1
t1793c0,t81830c4,1
t1793c0,t51266c2,1
t1793c0,t39872c2,1
t1793c0,t64553c2,1
t1793c0,t7194c2,1
t1793c0,t75406c4,1
t1793c0,t91208c1,1
t1793c0,t64213c1,1
t1793c0,t2059c5,1
t1793c0,t87329c7,1
t1793c0,t43133c0,1
t1793c0,t27132c0,1
t1793c0,t20241c10,1
t1793c0,t49043c6,1
t1793c0,t10551c6,1
t1793c0,t50155c6,1
t1793c0,t75955c6,1
t1793c0,t77444c6,1
t1793c0,t32565c6,1
t1793c0,t12871c5,1
t1793c0,t35137c4,1
t1793c0,t33777c6,1
t1793c0,t95549c3,1
t1793c0,t57570c1,1
t1793c0,t90996c10,1
t1793c0,t78150c8,1
t1793c0,t98922c23,1
t1793c0,t96892c1,1
t1793c0,t100940c1,1
t1793c0,t19556c3,1
t1793c0,t19556c10,1
t1793c0,t27857c1,1
t1793c0,t96323c3,1
t1793c0,t30367c8,1
t1793c0,t52107c2,1
t1793c0,t57498c5,1
t1793c0,t22217c10,1
t1793c0,t28826c10,1
t1793c0,t69585c6,1
t1793c0,t98135c3,1
t1793c0,t44560c23,1
t1793c0,t94899c3,1
t1793c0,t54903c2,1
t1793c0,t65533c4,1
t1793c0,t17490c3,1
t1793c0,t95610c4,1
t1793c0,t42924c2,1
t1793c0,t55419c7,1
t1793c0,t70072c3,1
t1793c0,t29736c4,1
t1793c0,t82432c0,1
t1793c0,t90103c0,1
t1793c0,t76907c9,1
t1793c0,t54514c3,1
t1793c0,t38320c15,1
t1793c0,t103218c8,1
t1793c0,t37581c3,1
t1793c0,t91640c1,1
t1793c0,t93473c3,1
t1793c0,t16850c3,1
t1793c0,t64649c1,1
t1793c0,t4247c1,1
t1793c0,t37421c2,1
t1793c0,t37564c10,1
t1793c0,t101826c4,1
t1793c0,t31257c1,1
t1793c0,t21930c2,1
t1793c0,t40156c2,1
t1793c0,t41181c2,1
t1793c0,t5611c1,1
t1793c0,t86504c0,1
t1793c0,t47705c1,1
t1793c0,t27880c10,1
t1793c0,t56194c0,1
t1793c0,t9981c5,1
t1793c0,t40154c3,1
t1793c0,t99428c8,1
t1793c0,t89798c2,1
t1793c0,t15537c5,1
t1793c0,t30237c2,1
t1793c0,t101203c4,1
t1793c0,t54133c1,1
t1793c0,t32545c1,1
t1793c0,t55932c1,1
t1793c0,t98985c1,1
t1793c0,t43714c1,1
t1793c0,t96541c1,1
t1793c0,t86835c1,1
t1793c0,t26415c1,1
t7378c9,t75049c4,1
t7378c9,t34319c3,1
t7378c9,t92675c2,1
t7378c9,t49858c14,1
t7378c9,t38639c14,1
t7378c9,t71785c16,1
t7378c9,t70174c1,1
t7378c9,t70174c2,1
t7378c9,t70174c3,1
t7378c9,t70174c4,2
t7378c9,t70174c5,2
t7378c9,t17765c14,1
t7378c9,t97627c5,1
t7378c9,t22051c19,1
t7378c9,t66290c2,1
t7378c9,t40520c16,1
t7378c9,t66916c8,1
t7378c9,t46262c16,1
t7378c9,t98209c3,1
t7378c9,t11594c2,1
t7378c9,t44987c3,1
t7378c9,t101035c16,1
t7378c9,t48290c6,1
t7378c9,t64801c2,1
t7378c9,t74721c2,1
t7378c9,t100399c6,1
t7378c9,t14530c3,1
t7378c9,t29062c3,1
t7378c9,t51336c3,1
t7378c9,t100121c3,1
t7378c9,t75806c3,1
t7378c9,t89281c3,1
t7378c9,t75107c3,1
t7378c9,t51716c2,1
t7378c9,t61983c2,1
t7378c9,t89490c2,1
t7378c9,t12027c3,1
t7378c9,t19166c2,1
t7378c9,t48065c3,1
t7378c9,t590c3,1
t7378c9,t90058c3,1
t7378c9,t67974c3,1
t7378c9,t28142c32,1
t7378c9,t101996c15,1
t7378c9,t24547c10,1
t7378c9,t87425c9,1
t7378c9,t1994c2,1
t7378c9,t21466c10,1
t7378c9,t14694c10,1
t7378c9,t70498c5,1
t7378c9,t53592c2,1
t7378c9,t8638c2,1
t7378c9,t28553c16,1
t7378c9,t97231c3,1
t7378c9,t35952c7,1
t7378c9,t19500c2,1
t7378c9,t41342c2,1
t7378c9,t86744c15,1
t7378c9,t7196c13,1
t7378c9,t72778c1,1
t7378c9,t10496c5,1
t7378c9,t73356c3,1
t7378c9,t73507c16,1
t7378c9,t43875c34,1
t7378c9,t43875c35,1
t7378c9,t94993c34,1
t7378c9,t94993c35,1
t7378c9,t46824c2,1
t7378c9,t84122c1,1
t7378c9,t55033c3,1
t7378c9,t89620c14,1
t7378c9,t41414c2,1
t7378c9,t97712c7,1
t7378c9,t93098c3,1
t7378c9,t39377c2,1
t7378c9,t63158c2,1
t7378c9,t37533c6,1
t7378c9,t51219c4,1
t7378c9,t61588c3,1
t7378c9,t47635c2,1
t7378c9,t48857c2,1
t7378c9,t50091c2,1
t7378c9,t74650c2,1
t7378c9,t9869c1,1
t7378c9,t46877c5,1
t7378c9,t87767c3,1
t7378c9,t37674c2,1
t7378c9,t65799c2,1
t7378c9,t7765c2,1
t7378c9,t76648c7,1
t7378c9,t38184c2,1
t7378c9,t103167c1,1
t7378c9,t22148c2,1
t7378c9,t71682c5,1
t7378c9,t14293c14,1
t7378c9,t30989c5,1
t7378c9,t101398c2,1
t7378c9,t37387c8,1
t7378c9,t88214c3,1
t7378c9,t102186c7,1
t7378c9,t12618c2,1
t7378c9,t23336c9,1
t7378c9,t48026c3,1
t7378c9,t30596c9,1
t7378c9,t3545c9,1
t7378c9,t47836c9,1
t7378c9,t94580c9,1
t7378c9,t31017c3,1
t7378c9,t28715c4,1
t7378c9,t40563c2,1
t7378c9,t87698c1,1
t7378c9,t65142c34,1
t7378c9,t65142c35,1
t7378c9,t91462c34,1
t7378c9,t91462c35,1
t7378c9,t51487c2,1
t7378c9,t52657c2,1
t7378c9,t37658c1,1
t7378c9,t25970c2,1
t7378c9,t67804c3,1
t7378c9,t22438c3,1
t7378c9,t19791c3,1
t7378c9,t12552c3,1
t7378c9,t37317c3,1
t7378c9,t52389c9,1
t7378c9,t27381c3,1
t7378c9,t61080c0,1
t7378c9,t75983c3,1
t7378c9,t70597c11,1
t7378c9,t873c7,1
t7378c9,t80199c3,1
t7378c9,t69828c5,1
t7378c9,t42073c3,1
t7378c9,t87345c1,1
t7378c9,t54741c2,1
t7378c9,t68784c2,1
t7378c9,t84599c3,1
t7378c9,t52113c3,1
t7378c9,t77379c6,1
t7378c9,t35486c24,1
t7378c9,t54005c24,1
t7378c9,t88548c2,1
t7378c9,t92552c3,1
t7378c9,t16901c2,1
t7378c9,t59533c2,1
t7378c9,t19697c9,1
t7378c9,t4973c15,1
t7378c9,t78808c6,1
t7378c9,t18511c3,1
t7378c9,t83209c4,1
t7378c9,t22636c3,1
t7378c9,t1302c7,1
t7378c9,t3123c2,1
t7378c9,t7009c3,1
t7378c9,t1938c3,1
t7378c9,t97002c2,1
t7378c9,t89806c2,2
t7378c9,t25777c0,1
t7378c9,t25777c3,1
t7378c9,t78391c3,1
t7378c9,t63120c0,2
t7378c9,t42529c6,1
t7378c9,t50848c1,1
t7378c9,t76907c7,1
t7378c9,t88582c10,1
t7378c9,t88582c11,1
t7378c9,t82384c2,1
t7378c9,t18899c5,1
t7378c9,t53261c2,1
t7378c9,t27880c13,1
t7378c9,t12232c1,1
t7378c9,t59809c1,1
t7378c9,t2197c1,1
t7378c9,t40222c0,1
t7378c9,t53502c4,1
t7378c9,t51246c2,1
t7378c9,t66125c0,1
t7378c9,t38526c6,1
t7378c9,t38639c15,1
t7378c9,t74410c5,1
t7378c9,t79086c5,1
t7378c9,t46175c9,1
t7378c9,t98024c4,1
t7378c9,t27735c0,1
t7378c9,t26673c2,1
t7378c9,t91208c1,1
t7378c9,t64213c1,1
t7378c9,t14278c2,1
t7378c9,t20257c0,1
t7378c9,t61565c0,1
t7378c9,t31720c0,1
t7378c9,t81300c0,1
t7378c9,t52175c0,1
t7378c9,t34710c1,1
t7378c9,t54903c2,1
