k,querytime,nb_threads
1,89.110448,64
3,96.899412,64
5,97.896164,64
10,97.896164,64
30,97.896172,64
50,97.896172,64
100,97.896176,64
300,97.896208,64
500,97.896272,64
1000,97.896412,64
3000,97.896852,64
5000,97.897136,64
10000,97.897514,64
1,69.670910,64
3,77.550416,64
5,77.550416,64
10,77.550416,64
30,77.550416,64
50,85.540559,64
100,85.540560,64
300,85.540570,64
500,85.540582,64
1000,90.935182,64
3000,90.935518,64
5000,90.935853,64
10000,90.936951,64
1,86.530736,64
3,96.861332,64
5,96.861332,64
10,96.861332,64
30,96.861332,64
50,96.861344,64
100,96.861352,64
300,96.861448,64
500,96.861528,64
1000,96.861712,64
3000,96.862396,64
5000,96.862772,64
10000,96.863584,64
1,85.240540,64
3,94.442204,64
5,94.442204,64
10,94.442204,64
30,94.442216,64
50,94.442216,64
100,94.442236,64
300,94.442268,64
500,94.442326,64
1000,94.442404,64
3000,94.442780,64
5000,94.443080,64
10000,94.443792,64
1,64.316885,64
3,64.316885,64
5,64.316885,64
10,64.316885,64
30,64.316885,64
50,66.584770,64
100,66.584772,64
300,66.584784,64
500,66.584820,64
1000,66.584912,64
3000,68.114540,64
5000,68.115376,64
10000,68.116012,64
