k,querytime,nb_threads
1,59.589825,16
3,68.329136,16
5,71.304188,16
10,92.891893,16
30,110.553865,16
50,128.105349,16
100,141.507211,16
300,165.147009,16
500,171.380669,16
1000,202.206286,16
3000,249.710887,16
5000,286.226326,16
10000,319.364372,16
1,56.431698,16
3,57.635553,16
5,70.803461,16
10,72.410055,16
30,83.826914,16
50,100.592187,16
100,140.356340,16
300,159.834962,16
500,191.905165,16
1000,227.257921,16
3000,262.290511,16
5000,293.798924,16
10000,333.733928,16
1,59.792242,16
3,61.055112,16
5,61.061576,16
10,62.589031,16
30,96.236112,16
50,106.409943,16
100,109.261159,16
300,150.209696,16
500,168.232442,16
1000,201.610634,16
3000,238.848812,16
5000,267.317618,16
10000,309.341604,16
1,55.157295,16
3,55.882726,16
5,61.212140,16
10,70.069185,16
30,70.808012,16
50,103.422153,16
100,103.426385,16
300,155.296440,16
500,164.150583,16
1000,181.614769,16
3000,209.705418,16
5000,226.870638,16
10000,275.219176,16
1,48.876395,16
3,48.876395,16
5,48.876396,16
10,52.795025,16
30,52.795029,16
50,52.795033,16
100,52.816337,16
300,71.957453,16
500,81.059699,16
1000,100.558735,16
3000,127.247996,16
5000,153.250563,16
10000,194.735264,16
1,48.349238,32
3,52.642775,32
5,52.645995,32
10,65.100016,32
30,79.925734,32
50,81.908852,32
100,101.135012,32
300,114.967774,32
500,114.967796,32
1000,129.073246,32
3000,170.080084,32
5000,176.964672,32
10000,181.791584,32
1,49.701506,32
3,57.246418,32
5,57.246423,32
10,57.254563,32
30,67.404177,32
50,77.393983,32
100,106.359014,32
300,125.625538,32
500,126.138848,32
1000,134.879392,32
3000,158.175428,32
5000,176.206168,32
10000,188.362752,32
1,46.738294,32
3,47.404509,32
5,48.798012,32
10,63.631716,32
30,67.374718,32
50,81.202708,32
100,85.220176,32
300,94.142379,32
500,115.439316,32
1000,121.528670,32
3000,152.913888,32
5000,165.269456,32
10000,168.792796,32
1,39.276151,32
3,43.956275,32
5,44.140060,32
10,51.954939,32
30,59.895333,32
50,65.036178,32
100,76.930057,32
300,101.643618,32
500,110.431940,32
1000,122.202780,32
3000,122.394830,32
5000,139.365348,32
10000,158.596473,32
1,31.294587,32
3,31.294587,32
5,31.294587,32
10,31.316566,32
30,31.316566,32
50,33.990534,32
100,39.282359,32
300,58.811857,32
500,65.935620,32
1000,65.935864,32
3000,85.590720,32
5000,91.691676,32
10000,98.893356,32
1,76.982119,64
3,84.112688,64
5,84.608337,64
10,84.608337,64
30,95.050324,64
50,95.232408,64
100,96.655024,64
300,104.664104,64
500,104.956006,64
1000,111.407200,64
3000,121.294512,64
5000,124.401656,64
10000,131.083984,64
1,74.795232,64
3,81.450650,64
5,81.450650,64
10,81.529863,64
30,90.956911,64
50,90.956920,64
100,101.666992,64
300,107.716714,64
500,110.469832,64
1000,110.822536,64
3000,133.243600,64
5000,135.982112,64
10000,135.982192,64
1,64.866025,64
3,66.098283,64
5,69.019716,64
10,79.969364,64
30,89.537318,64
50,89.537318,64
100,90.065444,64
300,92.127346,64
500,92.221108,64
1000,101.647244,64
3000,104.174920,64
5000,105.188688,64
10000,105.473656,64
1,72.278712,64
3,77.151440,64
5,77.151440,64
10,84.288372,64
30,86.706887,64
50,89.807264,64
100,94.828032,64
300,97.330192,64
500,97.530004,64
1000,97.947896,64
3000,106.681480,64
5000,120.843472,64
10000,126.152544,64
1,49.185346,64
3,49.185346,64
5,49.185346,64
10,49.185346,64
30,56.546099,64
50,56.762445,64
100,56.762454,64
300,71.580244,64
500,71.580316,64
1000,71.580446,64
3000,83.175512,64
5000,83.329856,64
10000,83.332664,64
