TQ:Q, TS:S, qindex, sindex, q, s, d
3967:0, 136:2, 0, 0, [], [], na
3967:0, 524:2, 0, 0, [], [], na
3967:0, 544:0, 0, 0, [], [], na
3967:0, 555:3, 0, 0, [], [], na
3967:0, 766:1, 0, 0, [], [], na
3967:0, 900:3, 0, 0, [], [], na
3967:0, 1026:3, 0, 0, [], [], na
3967:0, 1035:6, 0, 0, [], [], na
3967:0, 1051:3, 0, 0, [], [], na
3967:0, 1194:2, 0, 0, [], [], na
3967:0, 1223:3, 0, 0, [], [], na
3967:0, 1242:1, 0, 0, [], [], na
3967:0, 1329:0, 0, 0, [], [], na
3967:0, 1390:2, 0, 0, [], [], na
3967:0, 1582:6, 0, 0, [], [], na
3967:0, 1621:0, 0, 0, [], [], na
3967:0, 1629:6, 0, 0, [], [], na
3967:0, 1851:2, 0, 0, [], [], na
3967:0, 1886:6, 0, 0, [], [], na
3967:0, 1906:1, 0, 0, [], [], na
3967:0, 1931:6, 0, 0, [], [], na
3967:0, 1991:1, 0, 0, [], [], na
3967:0, 2028:2, 0, 0, [], [], na
3967:0, 2057:0, 0, 0, [], [], na
3967:0, 2098:6, 0, 0, [], [], na
3967:0, 2461:0, 0, 0, [], [], na
3967:0, 2475:2, 0, 0, [], [], na
3967:0, 2481:2, 0, 0, [], [], na
3967:0, 2529:6, 0, 0, [], [], na
3967:0, 2833:1, 0, 0, [], [], na
3967:0, 2999:2, 0, 0, [], [], na
3967:0, 3041:0, 0, 0, [], [], na
3967:0, 3067:1, 0, 0, [], [], na
3967:0, 3139:2, 0, 0, [], [], na
3967:0, 3191:1, 0, 0, [], [], na
3967:0, 3218:1, 0, 0, [], [], na
3967:0, 3248:4, 0, 0, [], [], na
3967:0, 3296:1, 0, 0, [], [], na
3967:0, 3339:4, 0, 0, [], [], na
3967:0, 3514:2, 0, 0, [], [], na
3967:0, 3540:2, 0, 0, [], [], na
3967:0, 3623:1, 0, 0, [], [], na
3967:0, 3672:0, 0, 0, [], [], na
3967:0, 3797:1, 0, 0, [], [], na
3967:0, 3883:1, 0, 0, [], [], na
3967:0, 3915:0, 0, 0, [], [], na
3967:0, 3915:1, 0, 0, [], [], na
3967:0, 3949:0, 0, 0, [], [], na
3967:0, 3962:1, 0, 0, [], [], na
3967:0, 3967:0, 0, 0, [], [], na
3967:0, 4160:1, 0, 0, [], [], na
3967:0, 4193:1, 0, 0, [], [], na
3967:0, 4234:2, 0, 0, [], [], na
3967:0, 4234:3, 0, 0, [], [], na
3967:0, 4245:4, 0, 0, [], [], na
3967:0, 4274:0, 0, 0, [], [], na
3967:0, 4274:3, 0, 0, [], [], na
3967:0, 4340:0, 0, 0, [], [], na
3967:0, 4477:0, 0, 0, [], [], na
3967:0, 4444:6, 0, 0, [], [], na
3967:0, 4529:1, 0, 0, [], [], na
3967:0, 4627:1, 0, 0, [], [], na
3967:0, 4628:4, 0, 0, [], [], na
3967:0, 4895:3, 0, 0, [], [], na
3967:0, 4900:4, 0, 0, [], [], na
3967:0, 5032:6, 0, 0, [], [], na
3967:0, 5045:2, 0, 0, [], [], na
3967:0, 5116:3, 0, 0, [], [], na
3967:0, 5119:2, 0, 0, [], [], na
3967:0, 5309:0, 0, 0, [], [], na
3967:0, 5327:0, 0, 0, [], [], na
3967:0, 5442:4, 0, 0, [], [], na
3967:0, 5587:1, 0, 0, [], [], na
3967:0, 5599:0, 0, 0, [], [], na
3967:0, 5904:0, 0, 0, [], [], na
3967:0, 5909:2, 0, 0, [], [], na
3967:0, 6154:3, 0, 0, [], [], na
3967:0, 6156:3, 0, 0, [], [], na
3967:0, 6256:0, 0, 0, [], [], na
3967:0, 6281:3, 0, 0, [], [], na
3967:0, 6296:0, 0, 0, [], [], na
3967:0, 6314:0, 0, 0, [], [], na
3967:0, 6321:1, 0, 0, [], [], na
3967:0, 6343:2, 0, 0, [], [], na
3967:0, 6386:2, 0, 0, [], [], na
3967:0, 6474:1, 0, 0, [], [], na
3967:0, 6538:0, 0, 0, [], [], na
3967:0, 6546:0, 0, 0, [], [], na
3967:0, 6612:3, 0, 0, [], [], na
3967:0, 6613:1, 0, 0, [], [], na
3967:0, 6687:0, 0, 0, [], [], na
3967:0, 6812:6, 0, 0, [], [], na
3967:0, 6814:1, 0, 0, [], [], na
3967:0, 6924:0, 0, 0, [], [], na
3967:0, 6948:7, 0, 0, [], [], na
3967:0, 7102:0, 0, 0, [], [], na
3967:0, 7244:3, 0, 0, [], [], na
3967:0, 7372:4, 0, 0, [], [], na
3967:0, 7460:3, 0, 0, [], [], na
3967:0, 7715:3, 0, 0, [], [], na
3967:0, 8102:2, 0, 0, [], [], na
3967:0, 8107:7, 0, 0, [], [], na
3967:0, 8136:0, 0, 0, [], [], na
3967:0, 8253:0, 0, 0, [], [], na
3967:0, 8264:6, 0, 0, [], [], na
3967:0, 8268:6, 0, 0, [], [], na
3967:0, 8355:0, 0, 0, [], [], na
3967:0, 8434:6, 0, 0, [], [], na
3967:0, 8469:4, 0, 0, [], [], na
3967:0, 8577:1, 0, 0, [], [], na
3967:0, 8718:1, 0, 0, [], [], na
3967:0, 8983:1, 0, 0, [], [], na
3967:0, 8993:2, 0, 0, [], [], na
3967:0, 9029:0, 0, 0, [], [], na
3967:0, 9098:1, 0, 0, [], [], na
3967:0, 9100:0, 0, 0, [], [], na
3967:0, 9375:3, 0, 0, [], [], na
3967:0, 9734:1, 0, 0, [], [], na
3967:0, 9967:5, 0, 0, [], [], na
3967:0, 9849:0, 0, 0, [], [], na
3967:0, 10274:1, 0, 0, [], [], na
3967:0, 10636:3, 0, 0, [], [], na
3967:0, 10699:1, 0, 0, [], [], na
3967:0, 10761:6, 0, 0, [], [], na
3967:0, 11042:2, 0, 0, [], [], na
3967:0, 10986:1, 0, 0, [], [], na
3967:0, 11149:1, 0, 0, [], [], na
3967:0, 11194:3, 0, 0, [], [], na
3967:0, 11519:6, 0, 0, [], [], na
3967:0, 11583:0, 0, 0, [], [], na
3967:0, 11809:1, 0, 0, [], [], na
3967:0, 11825:3, 0, 0, [], [], na
3967:0, 11826:1, 0, 0, [], [], na
3967:0, 11966:1, 0, 0, [], [], na
3967:0, 11988:4, 0, 0, [], [], na
3967:0, 11904:0, 0, 0, [], [], na
3967:0, 11904:2, 0, 0, [], [], na
3967:0, 12024:6, 0, 0, [], [], na
3967:0, 12115:4, 0, 0, [], [], na
3967:0, 12123:3, 0, 0, [], [], na
3967:0, 12125:1, 0, 0, [], [], na
3967:0, 12223:1, 0, 0, [], [], na
3967:0, 12272:7, 0, 0, [], [], na
3967:0, 12348:1, 0, 0, [], [], na
3967:0, 12401:3, 0, 0, [], [], na
3967:0, 12424:1, 0, 0, [], [], na
3967:0, 12505:2, 0, 0, [], [], na
