TQ:Q, TS:S, qindex, sindex, q, s, d
9136:4, 2:0, 0, 0, [], [], na
9136:4, 4:2, 0, 0, [], [], na
9136:4, 7:1, 0, 0, [], [], na
9136:4, 7:2, 0, 0, [], [], na
9136:4, 7:3, 0, 0, [], [], na
9136:4, 10:0, 0, 0, [], [], na
9136:4, 10:1, 0, 0, [], [], na
9136:4, 12:0, 0, 0, [], [], na
9136:4, 12:1, 0, 0, [], [], na
9136:4, 12:2, 0, 0, [], [], na
9136:4, 12:3, 0, 0, [], [], na
9136:4, 12:4, 0, 0, [], [], na
9136:4, 12:5, 0, 0, [], [], na
9136:4, 12:6, 0, 0, [], [], na
9136:4, 13:1, 0, 0, [], [], na
9136:4, 14:1, 0, 0, [], [], na
9136:4, 14:4, 0, 0, [], [], na
9136:4, 14:5, 0, 0, [], [], na
9136:4, 14:6, 0, 0, [], [], na
9136:4, 14:7, 0, 0, [], [], na
9136:4, 14:8, 0, 0, [], [], na
9136:4, 15:1, 0, 0, [], [], na
9136:4, 15:2, 0, 0, [], [], na
9136:4, 16:1, 0, 0, [], [], na
9136:4, 20:0, 0, 0, [], [], na
9136:4, 22:9, 0, 0, [], [], na
9136:4, 23:1, 0, 0, [], [], na
9136:4, 25:3, 0, 0, [], [], na
9136:4, 26:0, 0, 0, [], [], na
9136:4, 26:3, 0, 0, [], [], na
9136:4, 28:3, 0, 0, [], [], na
9136:4, 29:1, 0, 0, [], [], na
9136:4, 31:1, 0, 0, [], [], na
9136:4, 31:2, 0, 0, [], [], na
9136:4, 32:2, 0, 0, [], [], na
9136:4, 33:0, 0, 0, [], [], na
9136:4, 34:1, 0, 0, [], [], na
9136:4, 34:3, 0, 0, [], [], na
9136:4, 36:0, 0, 0, [], [], na
9136:4, 36:3, 0, 0, [], [], na
9136:4, 36:4, 0, 0, [], [], na
9136:4, 37:0, 0, 0, [], [], na
9136:4, 37:1, 0, 0, [], [], na
9136:4, 37:2, 0, 0, [], [], na
9136:4, 37:3, 0, 0, [], [], na
9136:4, 37:4, 0, 0, [], [], na
9136:4, 37:5, 0, 0, [], [], na
9136:4, 37:6, 0, 0, [], [], na
9136:4, 38:0, 0, 0, [], [], na
9136:4, 38:3, 0, 0, [], [], na
9136:4, 40:0, 0, 0, [], [], na
9136:4, 40:1, 0, 0, [], [], na
9136:4, 40:2, 0, 0, [], [], na
9136:4, 40:3, 0, 0, [], [], na
9136:4, 40:4, 0, 0, [], [], na
9136:4, 40:5, 0, 0, [], [], na
9136:4, 40:6, 0, 0, [], [], na
9136:4, 41:0, 0, 0, [], [], na
9136:4, 41:1, 0, 0, [], [], na
9136:4, 41:2, 0, 0, [], [], na
9136:4, 41:3, 0, 0, [], [], na
9136:4, 41:4, 0, 0, [], [], na
9136:4, 41:5, 0, 0, [], [], na
9136:4, 41:6, 0, 0, [], [], na
9136:4, 42:1, 0, 0, [], [], na
9136:4, 42:2, 0, 0, [], [], na
9136:4, 42:3, 0, 0, [], [], na
9136:4, 42:5, 0, 0, [], [], na
9136:4, 42:7, 0, 0, [], [], na
9136:4, 42:8, 0, 0, [], [], na
9136:4, 43:0, 0, 0, [], [], na
9136:4, 43:1, 0, 0, [], [], na
9136:4, 43:2, 0, 0, [], [], na
9136:4, 43:3, 0, 0, [], [], na
9136:4, 43:4, 0, 0, [], [], na
9136:4, 43:5, 0, 0, [], [], na
9136:4, 43:6, 0, 0, [], [], na
9136:4, 49:1, 0, 0, [], [], na
9136:4, 49:2, 0, 0, [], [], na
9136:4, 49:3, 0, 0, [], [], na
9136:4, 51:2, 0, 0, [], [], na
9136:4, 55:2, 0, 0, [], [], na
9136:4, 55:3, 0, 0, [], [], na
9136:4, 57:0, 0, 0, [], [], na
9136:4, 57:4, 0, 0, [], [], na
9136:4, 57:5, 0, 0, [], [], na
9136:4, 57:6, 0, 0, [], [], na
9136:4, 57:7, 0, 0, [], [], na
9136:4, 57:8, 0, 0, [], [], na
9136:4, 57:9, 0, 0, [], [], na
9136:4, 57:10, 0, 0, [], [], na
9136:4, 57:11, 0, 0, [], [], na
9136:4, 57:12, 0, 0, [], [], na
9136:4, 57:13, 0, 0, [], [], na
9136:4, 57:14, 0, 0, [], [], na
9136:4, 57:15, 0, 0, [], [], na
9136:4, 59:4, 0, 0, [], [], na
9136:4, 61:2, 0, 0, [], [], na
9136:4, 61:4, 0, 0, [], [], na
9136:4, 61:5, 0, 0, [], [], na
9136:4, 62:4, 0, 0, [], [], na
9136:4, 64:1, 0, 0, [], [], na
9136:4, 64:2, 0, 0, [], [], na
9136:4, 64:4, 0, 0, [], [], na
9136:4, 64:5, 0, 0, [], [], na
9136:4, 64:6, 0, 0, [], [], na
9136:4, 64:8, 0, 0, [], [], na
9136:4, 66:2, 0, 0, [], [], na
9136:4, 66:3, 0, 0, [], [], na
9136:4, 66:4, 0, 0, [], [], na
9136:4, 66:5, 0, 0, [], [], na
9136:4, 66:6, 0, 0, [], [], na
9136:4, 66:7, 0, 0, [], [], na
9136:4, 66:8, 0, 0, [], [], na
9136:4, 70:1, 0, 0, [], [], na
9136:4, 70:2, 0, 0, [], [], na
9136:4, 73:0, 0, 0, [], [], na
9136:4, 75:1, 0, 0, [], [], na
9136:4, 76:1, 0, 0, [], [], na
9136:4, 77:0, 0, 0, [], [], na
9136:4, 78:0, 0, 0, [], [], na
9136:4, 78:3, 0, 0, [], [], na
9136:4, 78:4, 0, 0, [], [], na
9136:4, 78:5, 0, 0, [], [], na
9136:4, 80:1, 0, 0, [], [], na
9136:4, 81:1, 0, 0, [], [], na
9136:4, 83:0, 0, 0, [], [], na
9136:4, 85:0, 0, 0, [], [], na
9136:4, 85:1, 0, 0, [], [], na
9136:4, 85:2, 0, 0, [], [], na
9136:4, 85:3, 0, 0, [], [], na
9136:4, 85:4, 0, 0, [], [], na
9136:4, 85:5, 0, 0, [], [], na
9136:4, 85:6, 0, 0, [], [], na
9136:4, 86:1, 0, 0, [], [], na
9136:4, 86:2, 0, 0, [], [], na
9136:4, 86:3, 0, 0, [], [], na
9136:4, 86:4, 0, 0, [], [], na
9136:4, 88:3, 0, 0, [], [], na
9136:4, 89:4, 0, 0, [], [], na
9136:4, 89:5, 0, 0, [], [], na
9136:4, 94:0, 0, 0, [], [], na
9136:4, 96:1, 0, 0, [], [], na
9136:4, 96:2, 0, 0, [], [], na
9136:4, 96:3, 0, 0, [], [], na
9136:4, 96:4, 0, 0, [], [], na
9136:4, 96:5, 0, 0, [], [], na
9136:4, 96:6, 0, 0, [], [], na
9136:4, 97:0, 0, 0, [], [], na
9136:4, 97:1, 0, 0, [], [], na
9136:4, 97:2, 0, 0, [], [], na
9136:4, 97:3, 0, 0, [], [], na
9136:4, 97:4, 0, 0, [], [], na
9136:4, 97:5, 0, 0, [], [], na
9136:4, 97:6, 0, 0, [], [], na
9136:4, 98:2, 0, 0, [], [], na
9136:4, 103:2, 0, 0, [], [], na
9136:4, 105:1, 0, 0, [], [], na
9136:4, 105:2, 0, 0, [], [], na
9136:4, 111:1, 0, 0, [], [], na
9136:4, 111:2, 0, 0, [], [], na
9136:4, 111:3, 0, 0, [], [], na
9136:4, 113:1, 0, 0, [], [], na
9136:4, 115:0, 0, 0, [], [], na
9136:4, 115:1, 0, 0, [], [], na
9136:4, 115:2, 0, 0, [], [], na
9136:4, 115:3, 0, 0, [], [], na
9136:4, 115:4, 0, 0, [], [], na
9136:4, 115:5, 0, 0, [], [], na
9136:4, 115:6, 0, 0, [], [], na
9136:4, 116:4, 0, 0, [], [], na
9136:4, 117:2, 0, 0, [], [], na
9136:4, 117:3, 0, 0, [], [], na
9136:4, 118:0, 0, 0, [], [], na
9136:4, 118:4, 0, 0, [], [], na
9136:4, 118:5, 0, 0, [], [], na
9136:4, 122:2, 0, 0, [], [], na
9136:4, 126:0, 0, 0, [], [], na
9136:4, 126:2, 0, 0, [], [], na
9136:4, 126:3, 0, 0, [], [], na
9136:4, 126:4, 0, 0, [], [], na
9136:4, 126:5, 0, 0, [], [], na
9136:4, 126:6, 0, 0, [], [], na
9136:4, 126:7, 0, 0, [], [], na
9136:4, 126:8, 0, 0, [], [], na
9136:4, 128:2, 0, 0, [], [], na
9136:4, 130:1, 0, 0, [], [], na
9136:4, 130:2, 0, 0, [], [], na
