TQ:Q, TS:S, qindex, sindex, q, s, d
11627:4, 3:1, 0, 0, [], [], na
11627:4, 6:4, 0, 0, [], [], na
11627:4, 20:2, 0, 0, [], [], na
11627:4, 31:0, 0, 0, [], [], na
11627:4, 45:2, 0, 0, [], [], na
11627:4, 46:1, 0, 0, [], [], na
11627:4, 50:1, 0, 0, [], [], na
11627:4, 54:1, 0, 0, [], [], na
11627:4, 55:5, 0, 0, [], [], na
11627:4, 60:0, 0, 0, [], [], na
11627:4, 61:0, 0, 0, [], [], na
11627:4, 63:3, 0, 0, [], [], na
11627:4, 67:1, 0, 0, [], [], na
11627:4, 71:1, 0, 0, [], [], na
11627:4, 73:2, 0, 0, [], [], na
11627:4, 77:3, 0, 0, [], [], na
11627:4, 78:6, 0, 0, [], [], na
11627:4, 82:0, 0, 0, [], [], na
11627:4, 89:6, 0, 0, [], [], na
11627:4, 90:1, 0, 0, [], [], na
11627:4, 92:1, 0, 0, [], [], na
11627:4, 101:3, 0, 0, [], [], na
11627:4, 107:1, 0, 0, [], [], na
11627:4, 118:7, 0, 0, [], [], na
11627:4, 119:0, 0, 0, [], [], na
11627:4, 121:2, 0, 0, [], [], na
11627:4, 124:1, 0, 0, [], [], na
11627:4, 128:1, 0, 0, [], [], na
11627:4, 132:1, 0, 0, [], [], na
11627:4, 135:1, 0, 0, [], [], na
11627:4, 136:2, 0, 0, [], [], na
11627:4, 143:1, 0, 0, [], [], na
11627:4, 144:1, 0, 0, [], [], na
11627:4, 150:0, 0, 0, [], [], na
11627:4, 153:1, 0, 0, [], [], na
11627:4, 154:0, 0, 0, [], [], na
11627:4, 157:3, 0, 0, [], [], na
11627:4, 160:2, 0, 0, [], [], na
11627:4, 163:4, 0, 0, [], [], na
11627:4, 164:1, 0, 0, [], [], na
11627:4, 165:2, 0, 0, [], [], na
11627:4, 167:1, 0, 0, [], [], na
11627:4, 173:2, 0, 0, [], [], na
11627:4, 174:0, 0, 0, [], [], na
11627:4, 177:1, 0, 0, [], [], na
11627:4, 180:4, 0, 0, [], [], na
11627:4, 181:1, 0, 0, [], [], na
11627:4, 185:0, 0, 0, [], [], na
11627:4, 187:1, 0, 0, [], [], na
11627:4, 203:1, 0, 0, [], [], na
11627:4, 210:2, 0, 0, [], [], na
11627:4, 210:3, 0, 0, [], [], na
11627:4, 219:4, 0, 0, [], [], na
11627:4, 235:0, 0, 0, [], [], na
11627:4, 238:0, 0, 0, [], [], na
11627:4, 246:1, 0, 0, [], [], na
11627:4, 247:0, 0, 0, [], [], na
11627:4, 261:1, 0, 0, [], [], na
11627:4, 264:2, 0, 0, [], [], na
11627:4, 268:1, 0, 0, [], [], na
11627:4, 269:1, 0, 0, [], [], na
11627:4, 269:2, 0, 0, [], [], na
11627:4, 269:3, 0, 0, [], [], na
11627:4, 271:1, 0, 0, [], [], na
11627:4, 278:2, 0, 0, [], [], na
11627:4, 278:3, 0, 0, [], [], na
11627:4, 279:0, 0, 0, [], [], na
11627:4, 281:7, 0, 0, [], [], na
11627:4, 282:3, 0, 0, [], [], na
11627:4, 294:0, 0, 0, [], [], na
11627:4, 305:2, 0, 0, [], [], na
11627:4, 306:0, 0, 0, [], [], na
11627:4, 309:1, 0, 0, [], [], na
11627:4, 320:0, 0, 0, [], [], na
11627:4, 321:0, 0, 0, [], [], na
11627:4, 321:2, 0, 0, [], [], na
11627:4, 328:4, 0, 0, [], [], na
11627:4, 333:1, 0, 0, [], [], na
11627:4, 334:1, 0, 0, [], [], na
11627:4, 340:1, 0, 0, [], [], na
11627:4, 344:1, 0, 0, [], [], na
11627:4, 349:0, 0, 0, [], [], na
11627:4, 350:1, 0, 0, [], [], na
11627:4, 351:0, 0, 0, [], [], na
11627:4, 355:1, 0, 0, [], [], na
11627:4, 357:5, 0, 0, [], [], na
11627:4, 361:0, 0, 0, [], [], na
11627:4, 361:4, 0, 0, [], [], na
11627:4, 367:3, 0, 0, [], [], na
11627:4, 368:1, 0, 0, [], [], na
11627:4, 376:1, 0, 0, [], [], na
11627:4, 380:0, 0, 0, [], [], na
11627:4, 387:2, 0, 0, [], [], na
11627:4, 392:3, 0, 0, [], [], na
11627:4, 405:1, 0, 0, [], [], na
11627:4, 406:0, 0, 0, [], [], na
11627:4, 417:3, 0, 0, [], [], na
11627:4, 418:6, 0, 0, [], [], na
11627:4, 419:1, 0, 0, [], [], na
11627:4, 421:7, 0, 0, [], [], na
11627:4, 422:0, 0, 0, [], [], na
11627:4, 433:1, 0, 0, [], [], na
11627:4, 438:0, 0, 0, [], [], na
11627:4, 441:6, 0, 0, [], [], na
11627:4, 445:1, 0, 0, [], [], na
11627:4, 451:3, 0, 0, [], [], na
11627:4, 462:0, 0, 0, [], [], na
11627:4, 462:2, 0, 0, [], [], na
11627:4, 474:1, 0, 0, [], [], na
11627:4, 475:4, 0, 0, [], [], na
11627:4, 481:4, 0, 0, [], [], na
11627:4, 490:0, 0, 0, [], [], na
11627:4, 494:6, 0, 0, [], [], na
11627:4, 494:7, 0, 0, [], [], na
11627:4, 496:0, 0, 0, [], [], na
11627:4, 500:3, 0, 0, [], [], na
11627:4, 501:0, 0, 0, [], [], na
