TQ:Q, TS:S, qindex, sindex, q, s, d
1793:0, 813:0, 0, 0, [], [], na
1793:0, 1793:0, 0, 0, [], [], na
1793:0, 4633:0, 0, 0, [], [], na
1793:0, 9576:0, 0, 0, [], [], na
1793:0, 12420:0, 0, 0, [], [], na
1793:0, 12925:0, 0, 0, [], [], na
1793:0, 14520:0, 0, 0, [], [], na
1793:0, 15938:0, 0, 0, [], [], na
1793:0, 17327:0, 0, 0, [], [], na
1793:0, 19596:0, 0, 0, [], [], na
1793:0, 22316:0, 0, 0, [], [], na
1793:0, 23022:0, 0, 0, [], [], na
1793:0, 24108:0, 0, 0, [], [], na
1793:0, 24799:0, 0, 0, [], [], na
1793:0, 25561:0, 0, 0, [], [], na
1793:0, 26269:0, 0, 0, [], [], na
1793:0, 26821:0, 0, 0, [], [], na
1793:0, 27278:0, 0, 0, [], [], na
1793:0, 30821:0, 0, 0, [], [], na
1793:0, 31526:0, 0, 0, [], [], na
1793:0, 35608:0, 0, 0, [], [], na
1793:0, 35870:0, 0, 0, [], [], na
1793:0, 36132:0, 0, 0, [], [], na
1793:0, 39354:0, 0, 0, [], [], na
1793:0, 39950:0, 0, 0, [], [], na
1793:0, 40653:0, 0, 0, [], [], na
1793:0, 42078:0, 0, 0, [], [], na
1793:0, 45932:0, 0, 0, [], [], na
1793:0, 48237:0, 0, 0, [], [], na
1793:0, 48548:0, 0, 0, [], [], na
