TQ:Q, TS:S, qindex, sindex, q, s, d
7378:9, 1:1, 0, 0, [], [], na
7378:9, 2:2, 0, 0, [], [], na
7378:9, 2:3, 0, 0, [], [], na
7378:9, 3:0, 0, 0, [], [], na
7378:9, 3:1, 0, 0, [], [], na
7378:9, 4:3, 0, 0, [], [], na
7378:9, 6:0, 0, 0, [], [], na
7378:9, 6:1, 0, 0, [], [], na
7378:9, 6:3, 0, 0, [], [], na
7378:9, 6:4, 0, 0, [], [], na
7378:9, 8:1, 0, 0, [], [], na
7378:9, 10:3, 0, 0, [], [], na
7378:9, 11:1, 0, 0, [], [], na
7378:9, 15:0, 0, 0, [], [], na
7378:9, 20:2, 0, 0, [], [], na
7378:9, 21:1, 0, 0, [], [], na
7378:9, 21:3, 0, 0, [], [], na
7378:9, 22:0, 0, 0, [], [], na
7378:9, 22:1, 0, 0, [], [], na
7378:9, 23:0, 0, 0, [], [], na
7378:9, 23:1, 0, 0, [], [], na
7378:9, 24:2, 0, 0, [], [], na
7378:9, 25:0, 0, 0, [], [], na
7378:9, 25:1, 0, 0, [], [], na
7378:9, 27:3, 0, 0, [], [], na
7378:9, 30:1, 0, 0, [], [], na
7378:9, 30:2, 0, 0, [], [], na
7378:9, 30:4, 0, 0, [], [], na
7378:9, 31:0, 0, 0, [], [], na
7378:9, 32:1, 0, 0, [], [], na
7378:9, 33:1, 0, 0, [], [], na
7378:9, 34:1, 0, 0, [], [], na
7378:9, 39:0, 0, 0, [], [], na
7378:9, 39:1, 0, 0, [], [], na
7378:9, 44:1, 0, 0, [], [], na
7378:9, 45:0, 0, 0, [], [], na
7378:9, 45:2, 0, 0, [], [], na
7378:9, 46:0, 0, 0, [], [], na
7378:9, 46:1, 0, 0, [], [], na
7378:9, 50:1, 0, 0, [], [], na
7378:9, 51:3, 0, 0, [], [], na
7378:9, 52:1, 0, 0, [], [], na
7378:9, 52:2, 0, 0, [], [], na
7378:9, 53:0, 0, 0, [], [], na
7378:9, 53:1, 0, 0, [], [], na
7378:9, 54:0, 0, 0, [], [], na
7378:9, 54:1, 0, 0, [], [], na
7378:9, 55:4, 0, 0, [], [], na
7378:9, 55:5, 0, 0, [], [], na
7378:9, 56:0, 0, 0, [], [], na
7378:9, 57:1, 0, 0, [], [], na
7378:9, 58:4, 0, 0, [], [], na
7378:9, 59:2, 0, 0, [], [], na
7378:9, 60:0, 0, 0, [], [], na
7378:9, 60:1, 0, 0, [], [], na
