TQ:Q, TS:S, qindex, sindex, q, s, d
12886:0, 6:0, 0, 0, [], [], na
12886:0, 30:0, 0, 0, [], [], na
12886:0, 31:0, 0, 0, [], [], na
12886:0, 135:1, 0, 0, [], [], na
12886:0, 150:2, 0, 0, [], [], na
12886:0, 180:0, 0, 0, [], [], na
12886:0, 210:3, 0, 0, [], [], na
12886:0, 219:0, 0, 0, [], [], na
12886:0, 481:0, 0, 0, [], [], na
12886:0, 486:0, 0, 0, [], [], na
12886:0, 507:3, 0, 0, [], [], na
12886:0, 540:0, 0, 0, [], [], na
12886:0, 596:3, 0, 0, [], [], na
12886:0, 620:0, 0, 0, [], [], na
12886:0, 643:0, 0, 0, [], [], na
12886:0, 643:2, 0, 0, [], [], na
12886:0, 670:2, 0, 0, [], [], na
12886:0, 673:0, 0, 0, [], [], na
12886:0, 767:0, 0, 0, [], [], na
12886:0, 960:0, 0, 0, [], [], na
12886:0, 985:0, 0, 0, [], [], na
12886:0, 989:3, 0, 0, [], [], na
12886:0, 1026:0, 0, 0, [], [], na
12886:0, 1034:2, 0, 0, [], [], na
12886:0, 1046:2, 0, 0, [], [], na
12886:0, 1057:0, 0, 0, [], [], na
12886:0, 1090:3, 0, 0, [], [], na
12886:0, 1101:2, 0, 0, [], [], na
12886:0, 1123:0, 0, 0, [], [], na
12886:0, 1175:0, 0, 0, [], [], na
12886:0, 1206:0, 0, 0, [], [], na
12886:0, 1240:2, 0, 0, [], [], na
12886:0, 1252:2, 0, 0, [], [], na
12886:0, 1363:2, 0, 0, [], [], na
12886:0, 1552:2, 0, 0, [], [], na
12886:0, 1665:2, 0, 0, [], [], na
12886:0, 1707:3, 0, 0, [], [], na
12886:0, 1657:0, 0, 0, [], [], na
12886:0, 1862:0, 0, 0, [], [], na
12886:0, 1871:0, 0, 0, [], [], na
12886:0, 1877:1, 0, 0, [], [], na
12886:0, 1910:2, 0, 0, [], [], na
12886:0, 1989:0, 0, 0, [], [], na
12886:0, 1999:0, 0, 0, [], [], na
12886:0, 2000:2, 0, 0, [], [], na
12886:0, 2010:0, 0, 0, [], [], na
12886:0, 2065:0, 0, 0, [], [], na
12886:0, 2079:2, 0, 0, [], [], na
12886:0, 2165:0, 0, 0, [], [], na
12886:0, 2244:0, 0, 0, [], [], na
12886:0, 2325:2, 0, 0, [], [], na
12886:0, 2333:0, 0, 0, [], [], na
12886:0, 2338:0, 0, 0, [], [], na
12886:0, 2447:2, 0, 0, [], [], na
12886:0, 2489:0, 0, 0, [], [], na
12886:0, 2565:0, 0, 0, [], [], na
12886:0, 2567:2, 0, 0, [], [], na
12886:0, 2620:0, 0, 0, [], [], na
12886:0, 2665:0, 0, 0, [], [], na
12886:0, 2879:0, 0, 0, [], [], na
12886:0, 2992:0, 0, 0, [], [], na
12886:0, 2891:1, 0, 0, [], [], na
12886:0, 2920:2, 0, 0, [], [], na
12886:0, 2935:1, 0, 0, [], [], na
12886:0, 3040:0, 0, 0, [], [], na
12886:0, 3106:2, 0, 0, [], [], na
12886:0, 3121:0, 0, 0, [], [], na
12886:0, 3132:2, 0, 0, [], [], na
12886:0, 3162:0, 0, 0, [], [], na
12886:0, 3221:0, 0, 0, [], [], na
12886:0, 3248:0, 0, 0, [], [], na
12886:0, 3268:0, 0, 0, [], [], na
12886:0, 3280:0, 0, 0, [], [], na
12886:0, 3292:0, 0, 0, [], [], na
12886:0, 3304:1, 0, 0, [], [], na
12886:0, 3332:0, 0, 0, [], [], na
12886:0, 3339:0, 0, 0, [], [], na
12886:0, 3381:0, 0, 0, [], [], na
12886:0, 3440:0, 0, 0, [], [], na
12886:0, 3463:2, 0, 0, [], [], na
12886:0, 3492:0, 0, 0, [], [], na
12886:0, 3506:0, 0, 0, [], [], na
12886:0, 3520:0, 0, 0, [], [], na
12886:0, 3584:0, 0, 0, [], [], na
12886:0, 3781:0, 0, 0, [], [], na
12886:0, 3819:2, 0, 0, [], [], na
12886:0, 3872:0, 0, 0, [], [], na
12886:0, 3917:2, 0, 0, [], [], na
12886:0, 4006:0, 0, 0, [], [], na
12886:0, 4017:0, 0, 0, [], [], na
12886:0, 4037:0, 0, 0, [], [], na
12886:0, 4039:2, 0, 0, [], [], na
12886:0, 3948:2, 0, 0, [], [], na
12886:0, 3949:0, 0, 0, [], [], na
12886:0, 4063:0, 0, 0, [], [], na
12886:0, 4079:0, 0, 0, [], [], na
12886:0, 4168:2, 0, 0, [], [], na
12886:0, 4185:0, 0, 0, [], [], na
12886:0, 4142:0, 0, 0, [], [], na
12886:0, 4221:0, 0, 0, [], [], na
12886:0, 4234:3, 0, 0, [], [], na
12886:0, 4245:0, 0, 0, [], [], na
12886:0, 4318:0, 0, 0, [], [], na
12886:0, 4512:2, 0, 0, [], [], na
12886:0, 4530:2, 0, 0, [], [], na
12886:0, 4554:10, 0, 0, [], [], na
12886:0, 4575:2, 0, 0, [], [], na
12886:0, 4606:2, 0, 0, [], [], na
12886:0, 4637:0, 0, 0, [], [], na
12886:0, 4683:0, 0, 0, [], [], na
12886:0, 4710:0, 0, 0, [], [], na
12886:0, 4737:0, 0, 0, [], [], na
12886:0, 4758:0, 0, 0, [], [], na
12886:0, 4858:0, 0, 0, [], [], na
12886:0, 4995:2, 0, 0, [], [], na
12886:0, 5052:0, 0, 0, [], [], na
12886:0, 5071:1, 0, 0, [], [], na
12886:0, 5149:0, 0, 0, [], [], na
12886:0, 5211:0, 0, 0, [], [], na
12886:0, 5213:0, 0, 0, [], [], na
12886:0, 5240:0, 0, 0, [], [], na
12886:0, 5251:0, 0, 0, [], [], na
12886:0, 5291:2, 0, 0, [], [], na
12886:0, 5347:0, 0, 0, [], [], na
12886:0, 5355:0, 0, 0, [], [], na
12886:0, 5412:0, 0, 0, [], [], na
12886:0, 5469:0, 0, 0, [], [], na
12886:0, 5591:0, 0, 0, [], [], na
12886:0, 5597:2, 0, 0, [], [], na
12886:0, 5619:0, 0, 0, [], [], na
12886:0, 5639:0, 0, 0, [], [], na
12886:0, 5648:0, 0, 0, [], [], na
12886:0, 5679:2, 0, 0, [], [], na
12886:0, 5736:0, 0, 0, [], [], na
12886:0, 5789:2, 0, 0, [], [], na
12886:0, 5796:0, 0, 0, [], [], na
12886:0, 5884:0, 0, 0, [], [], na
12886:0, 5901:0, 0, 0, [], [], na
12886:0, 5979:0, 0, 0, [], [], na
12886:0, 5988:0, 0, 0, [], [], na
12886:0, 5988:2, 0, 0, [], [], na
12886:0, 5991:0, 0, 0, [], [], na
12886:0, 6001:0, 0, 0, [], [], na
12886:0, 6088:0, 0, 0, [], [], na
12886:0, 6154:0, 0, 0, [], [], na
12886:0, 6154:2, 0, 0, [], [], na
12886:0, 6234:2, 0, 0, [], [], na
12886:0, 6286:0, 0, 0, [], [], na
12886:0, 6296:2, 0, 0, [], [], na
12886:0, 6353:0, 0, 0, [], [], na
12886:0, 6437:2, 0, 0, [], [], na
12886:0, 6530:0, 0, 0, [], [], na
12886:0, 6636:0, 0, 0, [], [], na
12886:0, 6733:0, 0, 0, [], [], na
12886:0, 6738:0, 0, 0, [], [], na
12886:0, 6744:0, 0, 0, [], [], na
12886:0, 6750:2, 0, 0, [], [], na
12886:0, 6781:0, 0, 0, [], [], na
12886:0, 6995:0, 0, 0, [], [], na
12886:0, 7006:1, 0, 0, [], [], na
12886:0, 6866:1, 0, 0, [], [], na
12886:0, 6929:0, 0, 0, [], [], na
12886:0, 6967:0, 0, 0, [], [], na
12886:0, 6969:2, 0, 0, [], [], na
12886:0, 7102:0, 0, 0, [], [], na
12886:0, 7130:2, 0, 0, [], [], na
12886:0, 7221:2, 0, 0, [], [], na
12886:0, 7247:0, 0, 0, [], [], na
12886:0, 7248:0, 0, 0, [], [], na
12886:0, 7334:0, 0, 0, [], [], na
12886:0, 7505:3, 0, 0, [], [], na
12886:0, 7510:0, 0, 0, [], [], na
12886:0, 7534:0, 0, 0, [], [], na
12886:0, 7540:0, 0, 0, [], [], na
12886:0, 7630:0, 0, 0, [], [], na
12886:0, 7763:0, 0, 0, [], [], na
12886:0, 7700:0, 0, 0, [], [], na
12886:0, 7735:0, 0, 0, [], [], na
12886:0, 7808:0, 0, 0, [], [], na
12886:0, 7860:2, 0, 0, [], [], na
12886:0, 7906:0, 0, 0, [], [], na
12886:0, 7906:1, 0, 0, [], [], na
12886:0, 7911:3, 0, 0, [], [], na
12886:0, 7921:2, 0, 0, [], [], na
12886:0, 8040:1, 0, 0, [], [], na
12886:0, 8111:0, 0, 0, [], [], na
12886:0, 8111:2, 0, 0, [], [], na
12886:0, 8120:2, 0, 0, [], [], na
12886:0, 8225:2, 0, 0, [], [], na
12886:0, 8270:0, 0, 0, [], [], na
12886:0, 8289:0, 0, 0, [], [], na
12886:0, 8343:0, 0, 0, [], [], na
12886:0, 8369:2, 0, 0, [], [], na
12886:0, 8374:0, 0, 0, [], [], na
12886:0, 8402:0, 0, 0, [], [], na
12886:0, 8488:3, 0, 0, [], [], na
12886:0, 8497:2, 0, 0, [], [], na
12886:0, 8568:0, 0, 0, [], [], na
12886:0, 8666:0, 0, 0, [], [], na
12886:0, 8793:0, 0, 0, [], [], na
12886:0, 8882:0, 0, 0, [], [], na
12886:0, 8803:0, 0, 0, [], [], na
12886:0, 8803:2, 0, 0, [], [], na
12886:0, 8809:2, 0, 0, [], [], na
12886:0, 8974:2, 0, 0, [], [], na
12886:0, 8998:0, 0, 0, [], [], na
