tqq,tss,overlap
t1793c0,t77952c0,1
t1793c0,t31526c0,1
t1793c0,t77653c0,1
t1793c0,t90300c0,1
t1793c0,t63442c0,1
t1793c0,t39354c0,1
t1793c0,t101135c0,1
t1793c0,t98359c0,1
t1793c0,t94611c0,1
t1793c0,t35608c0,1
t1793c0,t62627c0,1
t1793c0,t12925c0,1
t1793c0,t70786c0,1
t1793c0,t35870c0,1
t1793c0,t12420c0,1
t1793c0,t86970c0,1
t1793c0,t14520c0,1
t1793c0,t55265c0,1
t1793c0,t48548c0,1
t1793c0,t67318c0,1
t1793c0,t30821c0,1
t1793c0,t24108c0,1
t1793c0,t40653c0,1
t1793c0,t48237c0,1
t1793c0,t81753c0,1
t1793c0,t9576c0,1
t1793c0,t99928c0,1
t1793c0,t82992c0,1
t1793c0,t17327c0,1
t1793c0,t55985c0,1
t1793c0,t73738c0,1
t1793c0,t4633c0,1
t1793c0,t26269c0,1
t1793c0,t82437c0,1
t1793c0,t19596c0,1
t1793c0,t39950c0,1
t1793c0,t97643c0,1
t1793c0,t36132c0,1
t1793c0,t83238c0,1
t1793c0,t67528c0,1
t1793c0,t42078c0,1
t1793c0,t15938c0,1
t1793c0,t26821c0,1
t1793c0,t45932c0,1
t1793c0,t59712c0,1
t1793c0,t81169c0,1
t1793c0,t813c0,1
t1793c0,t83844c0,1
t1793c0,t72582c0,1
t1793c0,t27278c0,1
t1793c0,t22316c0,1
t1793c0,t73228c0,1
t1793c0,t101405c0,1
t1793c0,t23022c0,1
t1793c0,t25561c0,1
t1793c0,t98604c0,1
t1793c0,t24799c0,1
t1793c0,t16574c6,1
t1793c0,t73320c5,1
t1793c0,t54406c15,1
t1793c0,t63022c15,1
t1793c0,t40434c15,1
t1793c0,t72626c15,1
t1793c0,t85734c15,1
t1793c0,t103331c15,1
t1793c0,t69388c12,1
t1793c0,t42190c15,1
t1793c0,t91224c16,1
t1793c0,t90335c15,1
t1793c0,t59522c16,1
t1793c0,t8583c16,1
t1793c0,t35952c16,1
t1793c0,t49858c14,1
t1793c0,t80466c16,1
t1793c0,t22092c16,1
t1793c0,t43954c14,1
t1793c0,t84988c16,1
t1793c0,t49060c16,1
t1793c0,t70174c1,1
t1793c0,t70174c3,1
t1793c0,t9131c7,1
t1793c0,t36598c15,1
t1793c0,t73146c15,1
t1793c0,t9995c15,1
t1793c0,t30118c15,1
t1793c0,t4921c15,1
t1793c0,t62928c5,1
t1793c0,t48052c15,1
t1793c0,t64379c15,1
t1793c0,t76807c15,1
t1793c0,t98787c15,1
t1793c0,t99278c15,1
t1793c0,t29390c15,1
t1793c0,t69797c15,1
t1793c0,t8553c15,1
t1793c0,t52117c15,1
t1793c0,t46672c15,1
t1793c0,t23759c15,1
t1793c0,t61579c15,1
t1793c0,t74038c15,1
t1793c0,t97358c15,1
t1793c0,t11971c15,1
t1793c0,t65044c15,1
t1793c0,t64053c15,1
t1793c0,t61553c15,1
t1793c0,t67393c15,1
t1793c0,t62463c9,1
t1793c0,t5056c15,1
t1793c0,t25317c15,1
t1793c0,t15565c2,1
t1793c0,t95384c6,1
t1793c0,t71259c0,1
t1793c0,t1182c0,1
t1793c0,t2121c0,1
t1793c0,t41296c0,1
t1793c0,t51702c0,1
t1793c0,t93154c0,1
t1793c0,t12718c0,1
t1793c0,t8095c0,1
t1793c0,t44000c0,1
t1793c0,t2477c0,1
t1793c0,t18355c0,1
t1793c0,t33430c0,1
t1793c0,t34115c0,1
t1793c0,t2684c0,1
t1793c0,t29093c0,1
t1793c0,t3090c0,1
t1793c0,t31207c0,1
t1793c0,t35862c0,1
t1793c0,t42991c0,1
t1793c0,t502c0,1
t1793c0,t71138c0,1
t1793c0,t71215c0,1
t1793c0,t72951c0,1
t1793c0,t79760c0,1
t1793c0,t75371c0,1
t1793c0,t78099c0,1
t1793c0,t85984c0,1
t1793c0,t86223c0,1
t1793c0,t83047c0,1
t1793c0,t71297c0,1
t1793c0,t101495c0,1
t1793c0,t103051c0,1
t1793c0,t13480c0,1
t1793c0,t18174c0,1
t1793c0,t297c0,1
t1793c0,t37414c0,1
t1793c0,t4662c0,1
t1793c0,t48735c0,1
t1793c0,t5659c0,1
t1793c0,t5600c0,1
t1793c0,t65712c0,1
t1793c0,t65793c0,1
t1793c0,t69077c0,1
t1793c0,t84466c0,1
t1793c0,t82272c0,1
t1793c0,t82421c0,1
t1793c0,t85228c0,1
t1793c0,t92614c0,1
t1793c0,t92675c2,1
t1793c0,t98024c5,3
t1793c0,t3508c4,1
t1793c0,t63045c1,1
t1793c0,t90332c2,1
t1793c0,t82945c4,1
t1793c0,t91080c0,1
t1793c0,t75472c4,1
t1793c0,t20866c2,1
t1793c0,t16384c7,1
t1793c0,t16384c8,1
t1793c0,t51584c4,1
t1793c0,t16863c0,1
t1793c0,t30504c0,2
t1793c0,t25861c0,1
t1793c0,t48993c1,1
t1793c0,t43621c2,1
t1793c0,t42483c7,1
t1793c0,t63185c1,1
t1793c0,t31020c7,1
t1793c0,t59351c2,1
t1793c0,t58231c4,1
t1793c0,t43712c7,1
t1793c0,t91859c0,1
t1793c0,t74555c2,1
t1793c0,t30601c11,1
t1793c0,t13776c1,1
t1793c0,t32051c7,1
t1793c0,t80374c2,1
t1793c0,t40243c1,1
t1793c0,t55772c0,1
t1793c0,t5012c4,1
t1793c0,t78391c3,1
t1793c0,t64542c3,1
t1793c0,t103117c6,1
t1793c0,t15425c6,1
t1793c0,t83992c6,1
t1793c0,t30661c7,1
t1793c0,t47964c5,1
t1793c0,t61318c3,1
t1793c0,t7851c2,1
t1793c0,t42295c4,1
t1793c0,t41603c0,1
t1793c0,t60067c6,1
t1793c0,t91061c2,2
t1793c0,t64021c1,1
t1793c0,t89806c0,2
t1793c0,t57186c2,1
t1793c0,t89806c2,1
t1793c0,t6860c1,1
t1793c0,t27033c3,1
t1793c0,t21150c3,1
t1793c0,t95237c3,1
t1793c0,t68302c2,1
t1793c0,t87372c4,1
t1793c0,t39804c0,1
t1793c0,t32554c0,1
t1793c0,t40129c0,1
t1793c0,t32511c5,1
t1793c0,t67627c3,1
t1793c0,t29291c4,1
t1793c0,t29291c7,1
t1793c0,t83632c4,1
t1793c0,t18398c11,1
t1793c0,t76900c7,1
t1793c0,t86103c5,1
t1793c0,t4652c5,1
t1793c0,t65603c5,1
t1793c0,t72540c5,1
t1793c0,t53502c4,2
t1793c0,t97336c8,1
t1793c0,t42198c3,1
t1793c0,t91655c2,1
t1793c0,t1798c1,1
t1793c0,t18808c1,1
t1793c0,t98024c6,2
t1793c0,t88582c11,1
t1793c0,t81830c4,1
t1793c0,t51266c2,1
t1793c0,t39872c2,1
t1793c0,t64553c2,1
t1793c0,t7194c2,1
t1793c0,t75406c4,1
t1793c0,t91208c1,1
t1793c0,t64213c1,1
t1793c0,t2059c5,1
t1793c0,t87329c7,1
t1793c0,t43133c0,1
t1793c0,t27132c0,1
t1793c0,t20241c10,1
t1793c0,t49043c6,1
t1793c0,t10551c6,1
t1793c0,t50155c6,1
t1793c0,t75955c6,1
t1793c0,t77444c6,1
t1793c0,t32565c6,1
t1793c0,t12871c5,1
t1793c0,t35137c4,1
t1793c0,t33777c6,1
t1793c0,t95549c3,1
t1793c0,t57570c1,1
t1793c0,t90996c10,1
t1793c0,t78150c8,1
t1793c0,t98922c23,1
t1793c0,t96892c1,1
t1793c0,t100940c1,1
t1793c0,t19556c3,1
t1793c0,t19556c10,1
t1793c0,t27857c1,1
t1793c0,t96323c3,1
t1793c0,t30367c8,1
t1793c0,t52107c2,1
t1793c0,t57498c5,1
t1793c0,t22217c10,1
t1793c0,t28826c10,1
t1793c0,t69585c6,1
t1793c0,t98135c3,1
t1793c0,t44560c23,1
t1793c0,t94899c3,1
t1793c0,t54903c2,1
t1793c0,t65533c4,1
t1793c0,t17490c3,1
t1793c0,t95610c4,1
t1793c0,t42924c2,1
t1793c0,t55419c7,1
t1793c0,t70072c3,1
t1793c0,t29736c4,1
t1793c0,t82432c0,1
t1793c0,t90103c0,1
t1793c0,t76907c9,1
t1793c0,t54514c3,1
t1793c0,t38320c15,1
t1793c0,t103218c8,1
t1793c0,t37581c3,1
t1793c0,t91640c1,1
t1793c0,t93473c3,1
t1793c0,t16850c3,1
t1793c0,t64649c1,1
t1793c0,t4247c1,1
t1793c0,t37421c2,1
t1793c0,t37564c10,1
t1793c0,t101826c4,1
t1793c0,t31257c1,1
t1793c0,t21930c2,1
t1793c0,t40156c2,1
t1793c0,t41181c2,1
t1793c0,t5611c1,1
t1793c0,t86504c0,1
t1793c0,t47705c1,1
t1793c0,t27880c10,1
t1793c0,t56194c0,1
t1793c0,t9981c5,1
t1793c0,t40154c3,1
t1793c0,t99428c8,1
t1793c0,t89798c2,1
t1793c0,t15537c5,1
t1793c0,t30237c2,1
t1793c0,t101203c4,1
t1793c0,t54133c1,1
t1793c0,t32545c1,1
t1793c0,t55932c1,1
t1793c0,t98985c1,1
t1793c0,t43714c1,1
t1793c0,t96541c1,1
t1793c0,t86835c1,1
t1793c0,t26415c1,1

t3967c0,t75864c0,2
t3967c0,t73581c2,1
t3967c0,t94256c0,1
t3967c0,t61814c1,1
t3967c0,t39804c0,1
t3967c0,t32554c0,1
t3967c0,t40129c0,1
t3967c0,t79295c3,1
t3967c0,t41754c3,1
t3967c0,t2059c5,1
t3967c0,t96526c3,1
t3967c0,t47364c1,1
t3967c0,t47364c2,1
t3967c0,t90833c1,1
t3967c0,t37657c7,1
t3967c0,t40251c2,1
t3967c0,t81428c2,1
t3967c0,t56188c1,1
t3967c0,t95237c3,1
t3967c0,t90142c2,1
t3967c0,t18808c1,1
t3967c0,t33982c2,1
t3967c0,t55772c0,1
t3967c0,t80263c1,1
t3967c0,t92963c1,1
t3967c0,t35597c1,1
t3967c0,t42295c1,1
t3967c0,t69206c2,1
t3967c0,t21426c0,1
t3967c0,t16265c6,1
t3967c0,t50415c1,1
t3967c0,t69642c3,1
t3967c0,t96501c1,1
t3967c0,t17507c1,1
t3967c0,t9662c4,1
t3967c0,t38123c3,1
t3967c0,t67119c1,1
t3967c0,t7194c1,1
t3967c0,t38155c1,1
t3967c0,t81952c4,1
t3967c0,t76044c0,1
t3967c0,t47462c3,1
t3967c0,t39742c2,1
t3967c0,t49858c14,1
t3967c0,t38639c14,1
t3967c0,t71785c16,1
t3967c0,t70174c1,1
t3967c0,t70174c2,1
t3967c0,t70174c3,1
t3967c0,t70174c4,1
t3967c0,t70174c5,1
t3967c0,t17765c14,1
t3967c0,t97627c5,1
t3967c0,t22051c19,1
t3967c0,t69458c3,1
t3967c0,t33630c0,1
t3967c0,t51338c2,1
t3967c0,t77982c0,1
t3967c0,t44526c0,1
t3967c0,t32196c2,1
t3967c0,t63120c0,1
t3967c0,t64542c3,1
t3967c0,t59185c2,1
t3967c0,t36214c1,1
t3967c0,t42483c7,1
t3967c0,t63185c1,1
t3967c0,t31020c7,1
t3967c0,t59351c2,1
t3967c0,t58231c4,1
t3967c0,t43712c7,1
t3967c0,t78391c3,1
t3967c0,t42924c2,1
t3967c0,t15644c0,1
t3967c0,t71880c4,1
t3967c0,t27283c3,1
t3967c0,t27033c3,1
t3967c0,t21150c3,1
t3967c0,t68367c5,1
t3967c0,t76907c7,1
t3967c0,t88582c10,1
t3967c0,t88582c11,1
t3967c0,t82384c2,1
t3967c0,t18899c5,1
t3967c0,t31423c2,1
t3967c0,t7690c1,1
t3967c0,t25530c1,1
t3967c0,t43166c2,1
t3967c0,t45598c2,1
t3967c0,t50205c2,1
t3967c0,t89097c2,1
t3967c0,t82151c1,1
t3967c0,t31435c4,1
t3967c0,t44115c1,1
t3967c0,t21425c3,1
t3967c0,t98356c3,1
t3967c0,t66601c4,1
t3967c0,t25251c2,1
t3967c0,t89376c2,1
t3967c0,t102260c3,1
t3967c0,t46385c1,1
t3967c0,t46385c2,1
t3967c0,t60089c3,1
t3967c0,t36244c6,1
t3967c0,t14484c4,1
t3967c0,t50879c4,1
t3967c0,t48879c0,1
t3967c0,t77379c3,1
t3967c0,t99404c1,1
t3967c0,t7115c0,1
t3967c0,t61930c1,1
t3967c0,t30632c5,1
t3967c0,t98024c5,1
t3967c0,t100584c3,1
t3967c0,t24697c6,1
t3967c0,t45208c9,1
t3967c0,t70029c11,1
t3967c0,t70029c12,1
t3967c0,t101991c6,1
t3967c0,t16062c1,1
t3967c0,t38933c2,1
t3967c0,t93886c2,1
t3967c0,t54075c4,1
t3967c0,t26606c4,1
t3967c0,t26606c5,1
t3967c0,t66437c1,1
t3967c0,t55837c1,1
t3967c0,t62964c14,1
t3967c0,t60222c10,1
t3967c0,t60120c7,1
t3967c0,t46877c5,1
t3967c0,t85929c9,1
t3967c0,t25747c2,1
t3967c0,t65142c34,1
t3967c0,t91462c34,1
t3967c0,t95791c8,1
t3967c0,t76940c2,1
t3967c0,t8965c6,1
t3967c0,t79275c1,1
t3967c0,t91765c5,1
t3967c0,t92122c8,1
t3967c0,t21133c2,1
t3967c0,t69153c2,1
t3967c0,t69283c2,1
t3967c0,t50541c7,1
t3967c0,t37914c5,1
t3967c0,t81300c7,1
t3967c0,t92142c6,1
t3967c0,t72710c0,1
t3967c0,t92675c2,1
t3967c0,t73320c5,1
t3967c0,t6860c1,1
t3967c0,t95826c1,1
t3967c0,t27132c0,1
t3967c0,t40243c1,1
t3967c0,t24967c1,1
t3967c0,t49964c0,1
t3967c0,t54631c2,1
t3967c0,t87372c4,1
t3967c0,t3734c0,1
t3967c0,t40567c1,1
t3967c0,t89806c0,1
t3967c0,t19350c0,1
t3967c0,t90103c0,1
t3967c0,t98024c4,1
t3967c0,t54250c1,1
t3967c0,t15004c1,1
t3967c0,t48993c1,1
t3967c0,t14057c1,1
t3967c0,t54250c0,1
t3967c0,t8546c5,1
t3967c0,t15907c2,1
t3967c0,t19415c3,1
t3967c0,t38352c2,1
t3967c0,t68081c4,1
t3967c0,t13596c0,1
t3967c0,t28056c2,1
t3967c0,t48741c5,1
t3967c0,t82019c1,1
t3967c0,t94545c4,1
t3967c0,t57907c4,1
t3967c0,t21447c1,1
t3967c0,t37235c0,1
t3967c0,t43621c2,1
t3967c0,t87057c1,1

t7378c9,t75049c4,1
t7378c9,t34319c3,1
t7378c9,t92675c2,1
t7378c9,t49858c14,1
t7378c9,t38639c14,1
t7378c9,t71785c16,1
t7378c9,t70174c1,1
t7378c9,t70174c2,1
t7378c9,t70174c3,1
t7378c9,t70174c4,2
t7378c9,t70174c5,2
