tqq,tss,nooverlap
t1793c0,t813c0,99
t1793c0,t4633c0,99
t1793c0,t9576c0,99
t1793c0,t12420c0,94
t1793c0,t12925c0,99
t1793c0,t14520c0,99
t1793c0,t15938c0,99
t1793c0,t17327c0,82
t1793c0,t19596c0,99
t1793c0,t22316c0,95
t1793c0,t23022c0,99
t1793c0,t24108c0,99
t1793c0,t24799c0,99
t1793c0,t25561c0,99
t1793c0,t26269c0,99
t1793c0,t26821c0,97
t1793c0,t27278c0,99
t1793c0,t30821c0,99
t1793c0,t31526c0,99
t1793c0,t35608c0,99
t1793c0,t35870c0,99
t1793c0,t36132c0,99
t1793c0,t39354c0,99
t1793c0,t39950c0,99
t1793c0,t40653c0,99
t1793c0,t42078c0,99
t1793c0,t45932c0,99
t1793c0,t48237c0,85
t1793c0,t48548c0,85
t1793c0,t55265c0,93
t1793c0,t55985c0,99
t1793c0,t59712c0,99
t1793c0,t62627c0,99
t1793c0,t63442c0,99
t1793c0,t67318c0,99
t1793c0,t67528c0,43
t1793c0,t70786c0,99
t1793c0,t72582c0,99
t1793c0,t73228c0,99
t1793c0,t73738c0,99
t1793c0,t77653c0,99
t1793c0,t77952c0,99
t1793c0,t81169c0,99
t1793c0,t81753c0,99
t1793c0,t82437c0,99
t1793c0,t82992c0,99
t1793c0,t83238c0,99
t1793c0,t83844c0,99
t1793c0,t86970c0,99
t1793c0,t90300c0,92
t1793c0,t94611c0,99
t1793c0,t97643c0,62
t1793c0,t98359c0,99
t1793c0,t98604c0,99
t1793c0,t99928c0,99
t1793c0,t101135c0,99
t1793c0,t101405c0,99
t7378c9,t62c0,99
t7378c9,t94c1,99
t7378c9,t116c6,99
t7378c9,t138c6,99
t7378c9,t155c3,99
t7378c9,t263c3,99
t7378c9,t650c0,99
t7378c9,t1221c9,96
t7378c9,t1284c9,97
t7378c9,t1313c4,99
t7378c9,t1325c3,99
t7378c9,t1516c0,99
t7378c9,t1525c3,99
t7378c9,t1673c2,99
t7378c9,t1624c2,99
t7378c9,t2231c1,99
t7378c9,t2371c2,99
t7378c9,t2407c1,99
t7378c9,t3086c1,99
t7378c9,t3093c4,99
t7378c9,t3481c6,99
t7378c9,t3547c6,99
t7378c9,t3596c3,99
t7378c9,t3653c6,99
t7378c9,t3796c6,99
t7378c9,t3987c2,99
t7378c9,t4205c3,99
t7378c9,t4225c2,99
t7378c9,t4679c1,99
t7378c9,t4725c1,99
t7378c9,t4785c1,99
t7378c9,t5069c9,95
t7378c9,t5094c2,99
t7378c9,t5348c1,99
t7378c9,t5404c1,99
t7378c9,t5464c2,99
t7378c9,t5711c1,99
t7378c9,t5857c1,99
t7378c9,t5859c2,99
t7378c9,t6126c1,99
t7378c9,t6153c1,99
t7378c9,t6180c9,95
t7378c9,t6404c1,99
t7378c9,t6428c2,99
t7378c9,t6482c2,99
t7378c9,t6685c1,99
t7378c9,t6686c1,99
t7378c9,t6943c1,99
t7378c9,t6948c3,99
t7378c9,t7162c1,99
t7378c9,t7393c2,99
t7378c9,t7509c2,99
t7378c9,t7517c6,99
t7378c9,t7551c1,99
t7378c9,t7568c6,99
t7378c9,t7612c4,99
t7378c9,t7658c6,99
t7378c9,t7810c1,99
t7378c9,t7903c1,99
t7378c9,t8107c3,99
t7378c9,t8360c1,99
t7378c9,t8400c6,99
t7378c9,t8414c0,99
t7378c9,t8459c1,99
t7378c9,t8629c9,98
t7378c9,t8770c1,99
t7378c9,t8781c1,99
t7378c9,t9020c0,99
t7378c9,t8953c0,99
t7378c9,t9137c2,99
t7378c9,t9359c6,99
t7378c9,t9446c2,99
t7378c9,t9475c6,99
t7378c9,t9657c9,96
t7378c9,t9685c6,99
t7378c9,t9716c0,99
t7378c9,t10016c2,99
t7378c9,t9841c1,99
t7378c9,t10200c3,99
t7378c9,t10248c0,99
t7378c9,t10477c0,99
t7378c9,t10694c2,99
t7378c9,t10835c9,97
t7378c9,t11056c6,99
t7378c9,t11023c1,99
t7378c9,t10934c1,99
t7378c9,t11077c2,99
t7378c9,t11116c6,99
t7378c9,t11182c1,99
t7378c9,t11243c1,99
t7378c9,t11372c2,99
t7378c9,t11475c4,99
t7378c9,t11506c3,99
t7378c9,t11593c10,99
t7378c9,t11845c3,99
t7378c9,t11851c4,99
t7378c9,t11961c6,99
t7378c9,t11913c1,99
t7378c9,t11976c1,99
t7378c9,t12146c6,99
t7378c9,t12165c1,99
t7378c9,t12191c0,99
t7378c9,t12272c3,99
t7378c9,t12456c1,99
t7378c9,t12482c3,99
t7378c9,t12546c9,99
t7378c9,t12567c6,99
t7378c9,t12663c0,99
t7378c9,t12858c6,99
t7378c9,t12879c1,99
t7378c9,t12997c3,99
t7378c9,t13108c4,99
